@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "which be the only dick tracy villain to appear three time" 
"LOC:city" , "what european capital celebrate it anniversary in" 
"LOC:country" , "what country be the setting of you only live twice" 
"NUM:perc" , "what be thatcher approval rating after year in power" 
"NUM:count" , "how many calorie be in a tomato" 
"LOC:state" , "in what state be the first college establish" 
"LOC:country" , "what country in latin america be the large one" 
"LOC:other" , "on which hawaiian island be pearl harbor" 
"HUM:ind" , "what feather cartoon character do yugoslavian know a vlaja gaja and raja" 
"NUM:date" , "when be dick clark bear" 
"NUM:other" , "what be the death toll of people die from tuberculosis" 
"LOC:city" , "what city be wiener schnitzel name for" 
"LOC:other" , "what desert have the high sand dune" 
"LOC:country" , "what two country contain sierra nevada mountain" 
"NUM:period" , "how long be the tv mission of star trek enterprise to be" 
"NUM:code" , "what phone number can i call to have a tree plant" 
"NUM:date" , "when do the banner become the national anthem" 
"LOC:other" , "what continent name appear on the upper leave corner of a budweiser label" 
"HUM:ind" , "who be the secretary of war in the civil war during the battle of gettysburg" 
"HUM:ind" , "who do bobby fischer beat to win the world chess championship" 
"LOC:other" , "where can i get information and statistic on country and nation" 
"NUM:date" , "what day be august" 
"LOC:other" , "where can i find a list of all the company in america that offer a direct stock purchase plan" 
"NUM:volsize" , "how big be a quart" 
"LOC:country" , "what country be a terrible beauty to leon uris" 
"LOC:other" , "where can i buy a hat like the kind jay kay from jamiroquai wear" 
"HUM:ind" , "name the lawyer for randy craft" 
"LOC:other" , "what be the homelite home page" 
"LOC:other" , "what mountainous region of the world be the lhasa apso dog native to" 
"NUM:period" , "how long do it take light to reach the earth from the sun" 
"HUM:ind" , "who live at stone canyon way" 
"NUM:count" , "how many question be on this thing" 
"HUM:ind" , "who play humpty dumpty in the film alice in wonderland" 
"HUM:ind" , "who be karenna gore al gore old daughter marry to" 
"HUM:ind" , "who play the title role in i be a teenage werewolf" 
"NUM:date" , "in what year do hitler gain power of germany" 
"NUM:date" , "what year do rossetti paint beata beatrix" 
"LOC:other" , "where can i find information about tour the philippine" 
"NUM:count" , "how many square foot be bill gate home" 
"HUM:ind" , "what be the name of actor rex harrison son who star in a modestly popular tv show during the late" 
"HUM:ind" , "who be the inventor of the stove" 
"HUM:ind" , "what comedian have a legendary reputation for steal joke" 
"LOC:other" , "where can i find information on the cyclone that hit new jersey on" 
"NUM:date" , "box day be celebrate on what date" 
"HUM:ind" , "who be the king who be force to agree to the magna carta" 
"HUM:ind" , "who be make the first honorary citizen of the" 
"LOC:other" , "where be richard nixon when gerald ford become president" 
"NUM:ord" , "where do the rank among world country in area" 
"NUM:perc" , "what be the target rate for growth in" 
"HUM:ind" , "name of scholar on whose literal translation from the chinese and japanese ezra pound depend" 
"NUM:date" , "when do israel begin turn the gaza strip and jericho over to the plo" 
"HUM:ind" , "name the on stage character whose face be never see" 
"NUM:count" , "how much energy be release when oxygen and hydrogen mix" 
"HUM:ind" , "who be know a the world old teenager" 
"LOC:other" , "what be the large brewery in the world" 
"LOC:country" , "what country and western singer be know a the silver fox" 
"LOC:other" , "what building appropriately enough be depict on the back of the bill" 
"HUM:ind" , "what baseball team owner and sailor be know a the mouth of the south" 
"HUM:ind" , "who be with patricia hearst the night she be kidnap" 
"HUM:ind" , "what be the viking prince first name" 
"LOC:other" , "where be rider college locate" 
"HUM:ind" , "what boxer life story be title rag bull" 
"HUM:ind" , "who advise listener to see the in your chevrolet" 
"LOC:other" , "where be the first restaurant" 
"LOC:other" , "where can i find full write draft of ctbt" 
"NUM:count" , "how many horse die during the civil war" 
"NUM:count" , "how much waste do an average dairy cow produce in a day" 
"HUM:ind" , "what nobel laureate be expel from the philippine before the conference on east timor" 
"HUM:ind" , "what woman have carry the most multiple birth twin triplet etc" 
"NUM:count" , "how many minute be there on the original ge college bowl clock" 
"NUM:period" , "what be the average time it take for a male to ejaculate" 
"LOC:other" , "what be website of the international court of justice" 
"LOC:other" , "where be of the high mountain in the world" 
"LOC:other" , "where can i look at a perpetual calendar" 
"NUM:count" , "how many astronaut have be on the moon" 
"NUM:date" , "in what year do the bounty mutiny happen" 
"HUM:ind" , "which bourbon king be restore to the french throne during napoleon abdication" 
"LOC:city" , "what be one of the city that the university of minnesota be locate in" 
"HUM:ind" , "what daughter of henry viii and anne boleyn become queen of england" 
"LOC:other" , "what be the most useful site on the internet" 
"LOC:mount" , "what be the world high peak" 
"HUM:ind" , "what comedienne upstaged dwight eisenhower first inauguration by give birth to her first child" 
"NUM:date" , "when be the olympic game in which nadia comaneci become popular play" 
"LOC:other" , "where be hearst castle build by publisher william randolph hearst" 
"LOC:city" , "what the large city on the great lake" 
"HUM:ind" , "who sing about desmond and molly jones" 
"HUM:ind" , "what costume designer decide that michael jackson should only wear one glove" 
"NUM:count" , "how many row of sprocket hole do a roll of film have" 
"NUM:count" , "what be the goat population of the world" 
"LOC:other" , "what sea separate naples and algiers" 
"NUM:count" , "how many lawyer be there in the state of new jersey" 
"HUM:ind" , "name the blind sculptress in love with the fantastic four thing" 
"HUM:ind" , "what national basketball association superstar tell his story in giant step" 
"NUM:date" , "when do fraze get his first patent for the can" 
"NUM:count" , "how many game be play in a tournament" 
"HUM:ind" , "who develop the first polio vaccine" 
"HUM:ind" , "who make the first gas engine" 
"LOC:country" , "what country claim rubens van dyck and bruegel a citizen" 
"NUM:count" , "how many question do you have on your database" 
"LOC:other" , "where can i find example of legal case about the individual with disability education act" 
"HUM:ind" , "what character do tex avery first create upon arrive at mgm" 
"NUM:date" , "when be the triangle shirtwaist fire" 
"HUM:ind" , "what asian spiritual and political leader be marry at the age of" 
"LOC:other" , "where be ocho rio" 
"LOC:other" , "what ocean do mauritania border" 
"LOC:country" , "what country be kosovo a part of" 
"LOC:city" , "tell me what city the kentucky horse park be near" 
"LOC:other" , "what be bill gross email address" 
"HUM:ind" , "what english queen have seventeen child" 
"NUM:other" , "what be the approximate population of la vega" 
"NUM:money" , "how much do the president get pay" 
"HUM:ind" , "what two baseball player make up the battery" 
"NUM:perc" , "of child between the age of two and eleven what percentage watch the simpson" 
"LOC:state" , "what the northernmost state apart from alaska" 
"LOC:other" , "name an art gallery in new york" 
"HUM:ind" , "who sell viagra" 
"LOC:other" , "what building be british monarch crown in" 
"HUM:ind" , "who do dita beard work for" 
"LOC:country" , "what country be first to use the airplane a a weapon of war against the turk in libya" 
"HUM:ind" , "who serve a inspiration for the schoolteacher portray by robin williams in dead poet society" 
"NUM:code" , "what be columbia tristar phone number" 
"HUM:ind" , "which one of the original seven mercury program astronaut do not fly on any of the mercury flight" 
"HUM:ind" , "who be the best known villain of the gunpowder plot" 
"LOC:city" , "what be the capital of burkina faso" 
"LOC:other" , "what continent be bolivia on" 
"HUM:ind" , "who kill more people hitler or stalin" 
"LOC:state" , "what state have the most blonde" 
"NUM:count" , "what be the highway death toll in" 
"HUM:ind" , "what mustachioed comedian portrayed frankie in north to alaska" 
"NUM:money" , "what do each of the utility cost in monopoly" 
"HUM:ind" , "what actor and world war ii airman have a bounty put on his head by hermann goering" 
"LOC:city" , "what city be often call the insurance capital of the world" 
"HUM:ind" , "who portray dracula in hammer studio film" 
"NUM:date" , "when be fish first believe to be find on earth" 
"HUM:ind" , "what president favorite biblical quotation be come now and let u reason together" 
"NUM:count" , "how many elevator do you ride to reach the top floor of the empire state building" 
"LOC:country" , "what country be sir edmund hillary bear in" 
"LOC:city" , "what city be john kennedy nominate for president in" 
"NUM:period" , "how long do a dog sleep" 
"NUM:money" , "what can you be fin for have a dog on a beach" 
"LOC:other" , "where do the battle of the bulge take place" 
"NUM:count" , "how much will the california be in the year" 
"HUM:ind" , "what mystery writer pen the glory that be greece and the grandeur that be rome" 
"LOC:state" , "what state full of milk and honey be the destination in the grape of wrath" 
"LOC:other" , "what be the tall building in japan" 
"LOC:other" , "where be sinn fein headquarters" 
"NUM:date" , "the iraqi launch their attack on kuwait on what day" 
"LOC:country" , "what country northernmost city be darwin" 
"LOC:other" , "what sound do olympia washington overlook" 
"LOC:city" , "what kentucky city call itself the horse center of america" 
"NUM:count" , "how many be there on a trivial pursuit game board" 
"LOC:country" , "what european country boast the city of furth find where the river rednitz and pegnitz converge" 
"LOC:state" , "what state be dixville notch in" 
"LOC:other" , "where be the cisalpine republic" 
"LOC:other" , "what be the large shopping mall in the world" 
"HUM:ind" , "what be the protagonist name in dostoevski the idiot" 
"HUM:ind" , "what presidential press secretary dismiss watergate a a burglary attempt" 
"HUM:ind" , "which of these be author" 
"HUM:ind" , "who be the original humpty dumpty" 
"LOC:other" , "where be the location of the orange bowl" 
"NUM:date" , "when be president nixon birthday" 
"HUM:ind" , "whose cupboard be bare" 
"LOC:other" , "what be the seven sea" 
"HUM:ind" , "what the name of popeye adopt son" 
"HUM:ind" , "who invent the vacuum clean" 
"HUM:ind" , "what fictional character attends pencey prep school" 
"NUM:count" , "how many people in the usa say their number one source of information be the newspaper" 
"HUM:ind" , "who do shakespeare antonio borrow ducat from" 
"LOC:country" , "which country be know a big bear" 
"NUM:count" , "how many time a day should you take a prescription mark" 
"HUM:ind" , "who be the voyager project manager" 
"HUM:ind" , "what two commander direct the force in the battle of el alamein" 
"HUM:ind" , "name the creator of the muppets" 
"HUM:ind" , "who reply i know to princess leia confession i love you in the empire strike back" 
"LOC:other" , "what the home of the rockettes" 
"LOC:other" , "where can i find all the information i need to know about the english civil war" 
"HUM:ind" , "who win the academy award for best actor" 
"HUM:ind" , "name the first private citizen to fly in space" 
"HUM:ind" , "what be football star elroy hirsch nickname" 
"HUM:ind" , "what singer sing oh boy" 
"NUM:count" , "how much pizza do american eat in a day" 
"LOC:other" , "what be the website for the usa journal" 
"LOC:state" , "what state have the coastline" 
"LOC:state" , "what state home to the buffalo bill historical center" 
"NUM:speed" , "how fast do cheetah run" 
"NUM:speed" , "how fast be a processor" 
"HUM:ind" , "what count do alexandre dumas write about" 
"NUM:perc" , "what be the odds of give birth to twin" 
"LOC:other" , "what be the large natural lake in pennsylvania" 
"NUM:dist" , "how far be london uk from california" 
"NUM:count" , "how many year old be benny carter" 
"LOC:other" , "where do the santa fe trail begin and end" 
"LOC:city" , "which city in canada be the" 
"NUM:period" , "how old be stevie wonder" 
"HUM:ind" , "who be the first taiwanese president" 
"HUM:ind" , "who be luke skywalker father" 
"LOC:other" , "where be the isle of man" 
"NUM:other" , "what be the death toll at the eruption of mount pinatubo" 
"NUM:date" , "when will the millennium officially begin" 
"HUM:ind" , "who create the comic strip garfield" 
"HUM:ind" , "which vietnamese terrorist be now a un delegate in doonesbury" 
"LOC:other" , "what do we call the imaginary line along the top of the rocky mountain" 
"LOC:country" , "what country capital be lagos" 
"LOC:other" , "where do ray bradbury chronicle take place" 
"HUM:ind" , "who be the current prime minister and president of russia" 
"HUM:ind" , "who establish a viking colony in greenland about" 
"NUM:other" , "what be the latitude and longitude of el paso texas" 
"LOC:other" , "where can i get information about cystic fibrosis" 
"LOC:other" , "where do honecker rule" 
"NUM:period" , "what be the life span of the average monkey" 
"NUM:count" , "how many member state be in the un" 
"HUM:ind" , "who shoot and kill himself while paint wheatfield with crow" 
"HUM:ind" , "what future president become senate majority whip under harry truman" 
"HUM:ind" , "who be the architect of central park" 
"NUM:dist" , "what be the dimension of an ice hockey goal" 
"NUM:date" , "when be cnn first broadcast" 
"LOC:country" , "what african country be govern from ouagadougou" 
"HUM:ind" , "what be the christian name of the title character in our miss brook" 
"HUM:ind" , "what hear artist paint sunflower" 
"HUM:ind" , "who write son and lover" 
"LOC:city" , "what french seaport claim to be the home of wine" 
"NUM:period" , "how long do it take sunlight to reach earth" 
"NUM:count" , "how many millisecond in a second" 
"HUM:ind" , "what cherokee indian give his name to a tree" 
"NUM:date" , "when be camcorder introduce in malaysia" 
"NUM:perc" , "what be the chance of conceive quadruplet" 
"HUM:ind" , "who be the star of leave it to beaver" 
"LOC:country" , "what country have the large armed force in the world" 
"HUM:ind" , "what be william cody name" 
"HUM:ind" , "who do richard nixon tender his resignation to" 
"HUM:ind" , "which of the follow rock n roll star have a star on hollywood boulevard" 
"NUM:money" , "what be the exchange rate for australian to american money" 
"NUM:count" , "how many state do richard nixon carry in" 
"NUM:count" , "how many shilling more than be there in a guinea" 
"HUM:ind" , "who take over a conductor of the boston pop after arthur fiedler long reign" 
"HUM:ind" , "what nazi leader kill himself in jail just before he be to be execute a a war criminal" 
"NUM:other" , "what brand number grace the black label of a bottle of jack daniel" 
"LOC:city" , "what city be terrorize by dracula in the night stalker" 
"HUM:ind" , "who be the fast guitarist" 
"LOC:other" , "what be the best hospital for orthopedics in the country" 
"HUM:ind" , "who betray norway to the nazi" 
"HUM:ind" , "who take the toy donate for the doodyville orphan fund and keep them for himself" 
"HUM:ind" , "who be the picts" 
"HUM:ind" , "who be station at camp swampy in the comic strip" 
"NUM:date" , "in what year do china and the republic of korea establish diplomatic relation" 
"NUM:dist" , "how tall be the giraffe" 
"HUM:ind" , "what actor dress up a santa claus and have a affair with actress shelley winter every christmas for many year" 
"NUM:period" , "how long do it take stanley to find livingstone" 
"NUM:count" , "how much of the nation child between the age of two and eleven watch the simpson" 
"LOC:other" , "what lake be sheboygan on" 
"LOC:other" , "what be the large lake in north america" 
"NUM:count" , "how many people die because of a smoking problem in" 
"HUM:ind" , "who write the look of love after view ursula andress" 
"HUM:ind" , "what be the name of the american swimmer who win seven gold medal in the olympics" 
"HUM:ind" , "who claim to have the great show on earth" 
"HUM:ind" , "what honeymooners actress do television magazine name a most promising star" 
"HUM:ind" , "what be the role of the medieval guild" 
"HUM:ind" , "silly putty be invent by whom" 
"HUM:ind" , "who invent the paper clip" 
"HUM:ind" , "whom do lauren bacall marry after her husband humphrey bogart die" 
"NUM:count" , "how many time in his national basketball associaton career be john havlicek a member of the team" 
"LOC:city" , "what city or state do the most gay men live in" 
"NUM:period" , "shea and gould have an office in los angeles for how long before close it" 
"NUM:date" , "what year do degas create the bronze sculpture fourth position front" 
"HUM:ind" , "what composer be award the medal of honor by franklin roosevelt" 
"NUM:count" , "how many url extension be there and what be they" 
"NUM:period" , "how long after intercourse do it take to find out if you be pregnant" 
"HUM:ind" , "who create the fantastic four hulk and thor" 
"HUM:ind" , "who be the composer of canon in d major" 
"LOC:other" , "where be all european and american eel bear" 
"HUM:ind" , "who be the author of the novel far from the madding crowd" 
"HUM:ind" , "what department store heir be responsible for raise a safe from the underwater wreckage of the andrea doria" 
"LOC:city" , "what be the first town to be charter in vermont" 
"LOC:state" , "what state have the long great lake shoreline" 
"LOC:state" , "what state end with a g" 
"NUM:count" , "how many variety of twin be there" 
"LOC:other" , "what be the large library in the u" 
"NUM:count" , "how many people live in the falklands" 
"HUM:ind" , "who be camp david name for" 
"HUM:ind" , "who portray the man without a face in the movie of the same name" 
"NUM:money" , "how much money be the minimum wage in" 
"NUM:date" , "in what year be the first patent for the opener on can obtain" 
"LOC:country" , "what country boast the most dam" 
"NUM:money" , "what be the regular price" 
"LOC:other" , "what metropolis landmark be first introduce in the superman cartoon of the" 
"LOC:other" , "where can one find mozambique" 
"LOC:city" , "in what city be the u declaration of independence locate" 
"HUM:ind" , "who win the first world series" 
"HUM:ind" , "who be credit with say i never meet a man i do like" 
"LOC:country" , "what nationality be jackson pollock" 
"NUM:count" , "how much of the earth surface be permanently freeze" 
"NUM:date" , "when be queen victoria bear" 
"NUM:count" , "how many people be execute for abraham lincoln assassination" 
"LOC:other" , "what be worth see in reims" 
"NUM:date" , "when be yemen reunify" 
"HUM:ind" , "what mexican leader be shoot dead in" 
"NUM:money" , "what be the federal minimum wage" 
"NUM:other" , "what be the unemployment statistic for the year and" 
"LOC:other" , "where be santa lucia" 
"HUM:ind" , "what female painter produce primitive of rural new england life" 
"HUM:ind" , "what be name of two old men who appear in the serial tv muppets show" 
"NUM:other" , "what be the horsepower of the shuttle booster" 
"NUM:date" , "what year do apartheid start" 
"HUM:ind" , "who create big ben" 
"LOC:city" , "what city be find in the city of oz" 
"LOC:state" , "what populous state cover square mile" 
"LOC:state" , "in what state be there an million gallon oil spill" 
"NUM:date" , "when do aldous huxley write brave new world" 
"LOC:country" , "what country do the ancient romans refer to a hibernia" 
"NUM:period" , "how long be the long hiccup attack" 
"NUM:count" , "how many people live in tokyo" 
"HUM:ind" , "what actress be know a the brazilian bombshell" 
"HUM:ind" , "who play the title role in my favorite martian" 
"HUM:ind" , "who invent the game scrabble" 
"NUM:date" , "when do human first begin to write history seriously" 
"LOC:city" , "what city in the experience the most growth recently" 
"LOC:other" , "what tokyo street glitter with famed department store and nightclub" 
"NUM:period" , "what be the average life expectancy during the stone age" 
"HUM:ind" , "when mighty mouse be conceive what be his original name" 
"NUM:count" , "how many president be assassinate during queen victoria reign" 
"NUM:date" , "when be the first flush toilet invent" 
"HUM:ind" , "what be nathan hamill role in the new star war prequel" 
"NUM:count" , "how many disk do each player have in a game of crokinole" 
"NUM:period" , "how old be the sun" 
"NUM:perc" , "what percentage of child between the age of two and eleven watch the simpson" 
"NUM:count" , "how many year ago do lead zeppelin release it last album" 
"NUM:count" , "how many people be randy craft convict of kill" 
"LOC:country" , "what country be you in if you woo in the wu dialect" 
"HUM:ind" , "what new york yankee be know a the iron horse" 
"HUM:ind" , "who be consider the first lady of the american stage" 
"HUM:ind" , "who pen neither a borrower nor a lender be" 
"HUM:ind" , "who head hitler infamous gestapo" 
"LOC:city" , "what south american city feature the exclusive copacabana beach and ipanema" 
"LOC:city" , "what german city do italian call the monaco of bavaria" 
"LOC:other" , "what island group contain jersey guernsey sark and herm" 
"HUM:ind" , "what be a person call that like fire" 
"LOC:other" , "where be helium first discover hence it name" 
"HUM:ind" , "who make the musical plea be true to your school" 
"HUM:ind" , "what french designer declare the jean be the destructor it be a dictator it be destroy creativity the jean must be stop" 
"NUM:date" , "what season be the set for shakespeare midsummer night dream" 
"HUM:ind" , "what comedian be ban from the ed sullivan show for allegedly make an obscene gesture at the show host" 
"LOC:country" , "what country be the set for edgar allan poe the pit and the pendulum" 
"HUM:ind" , "what apollo astronaut mind the store while armstrong and aldrin make history" 
"NUM:money" , "what be the current ticket fare from from cairo to barbados" 
"LOC:mount" , "what be the second high mountain peak in the world" 
"HUM:ind" , "what good little witch be casper girlfriend" 
"HUM:ind" , "what be the nickname of frederick i holy roman emperor and king of germany" 
"NUM:date" , "what month date and year do charles i die" 
"NUM:count" , "how many cubic foot of space do a gallon of water occupy" 
"LOC:other" , "what the world large cathedral" 
"LOC:country" , "what three european country begin with the letter a" 
"NUM:count" , "how many earthworm be in a single pasture" 
"HUM:ind" , "who make stonehenge" 
"NUM:other" , "what be the average hourly rate of american worker" 
"HUM:ind" , "who the founder and editor of the national review" 
"NUM:date" , "in what year do they build the berlin wall" 
"HUM:ind" , "who be the first governor of west virginia" 
"LOC:other" , "what the world long suspension bridge" 
"LOC:city" , "what asian city boast the world big bowling alley" 
"NUM:date" , "when will jean aeul publish her next book" 
"HUM:ind" , "what famous soldier be bear in europe die in asia and be lay to rest in africa" 
"LOC:city" , "what be the first three city to have a population of more than a million" 
"LOC:other" , "what constellation contain the twin castor and pollux" 
"NUM:count" , "how many meter be in a mile" 
"LOC:other" , "what famed london criminal court be once a feudal castle" 
"NUM:count" , "how many milligram be in a gram" 
"LOC:other" , "where do he get the title" 
"LOC:other" , "where can i find a large list of to letter word" 
"HUM:ind" , "what be michael jackson middle name" 
"HUM:ind" , "who be the first woman to fly solo across the atlantic" 
"NUM:period" , "how long be human gestation" 
"LOC:other" , "where do mother angelica live" 
"NUM:other" , "what the population of mississippi" 
"HUM:ind" , "who start the domino pizza chain" 
"NUM:period" , "how old be jeremy piven" 
"HUM:ind" , "which nba player have jersey number" 
"NUM:count" , "how many colored square be there on a rubik cube" 
"LOC:other" , "where be the mayo clinic" 
"LOC:other" , "what caribbean island be sometimes call little england" 
"LOC:other" , "where be amsterdam" 
"LOC:other" , "where can i find the lyric for the song get marry today from the musical company" 
"HUM:ind" , "who be the famous movie star who also act a sewer commissioner of provo canyon utah" 
"LOC:city" , "what australian city become the home of the america cup" 
"HUM:ind" , "name randy craft lawyer" 
"LOC:other" , "what river do the grand coulee dam dam" 
"NUM:other" , "how often be quadruplet bear" 
"NUM:count" , "how many president have die on the of july" 
"HUM:ind" , "what be a person call that like fire" 
"HUM:ind" , "who portray vincent van gogh in lust for life" 
"LOC:other" , "what be a reliable site that i can download heretic" 
"NUM:date" , "what season begin with the vernal equinox" 
"HUM:ind" , "who be know a the time master in comic book" 
"LOC:other" , "where do cable car first roll down clay street in" 
"LOC:other" , "what be george lucas address" 
"HUM:ind" , "who be the father of the computer" 
"HUM:ind" , "who say old soldier never die they just fade away" 
"NUM:dist" , "how long be tyrannosaurus rex teeth" 
"HUM:ind" , "who the only man to have win the olympic decathlon twice" 
"LOC:city" , "what kenyan city be the safari center for east africa" 
"HUM:ind" , "what be the name of miss india" 
"LOC:state" , "what four state have active volcano" 
"HUM:ind" , "who be the second man to walk on the moon" 
"HUM:ind" , "what major victorian novelist spend a much time work for the post office a he do write" 
"NUM:date" , "what year be the olympic game play in where nadia comaneci become popular" 
"LOC:other" , "what be the big indian airport" 
"LOC:other" , "what be the world three large ocean in order of size" 
"HUM:ind" , "who be the pope" 
"LOC:other" , "where on the internet can i find information on laundry detergent" 
"NUM:count" , "the shea gould law firm have an office in for how many year" 
"HUM:ind" , "what the most common surname in america" 
"NUM:period" , "how long do it take the typical american to eat quart of ice cream" 
"LOC:city" , "what city be sometimes call the athens of switzerland" 
"LOC:other" , "where do bocci originate" 
"LOC:other" , "where can i find information about bob barr representative from georgia" 
"NUM:other" , "what be the frequency of vhf" 
"NUM:count" , "how many electoral vote do it take to win presidency" 
"LOC:city" , "what be the city of dickens a tale of two city" 
"NUM:date" , "in what year be the movie the ten commandment release" 
"LOC:country" , "what country have the best math student" 
"NUM:date" , "when be the de beer company found" 
"HUM:ind" , "who be the first black performer to have his own network tv show" 
"NUM:date" , "what be the date of bastille day" 
"LOC:other" , "where do freidreich wilhelm ludwig leichhardt prussian bear explorer go to school" 
"NUM:count" , "how much folic acid should an expectant mother get daily" 
"NUM:count" , "how much caffeine be in a oz cup of coffee" 
"LOC:country" , "what two country in south america be landlocked" 
"NUM:code" , "what be columbia tristar phone number" 
"NUM:date" , "when do princess diana and prince charles get marry" 
"LOC:country" , "which country do hitler rule" 
"HUM:ind" , "who direct the wild bunch" 
"LOC:city" , "the orange bowl be in what city" 
"HUM:ind" , "what comedian be bear allen stewart konigsberg" 
"NUM:count" , "how many leo have be pope" 
"LOC:state" , "what state be herbert hoover bear in" 
"NUM:count" , "how many fiddler do old king cole have" 
"HUM:ind" , "what poet write i have promise to keep and mile to go before i sleep" 
"NUM:count" , "what be the population in india" 
"NUM:period" , "how long do fly live" 
"HUM:ind" , "who run andy capp favorite pub" 
"LOC:state" , "what state produce the best lobster to eat" 
"NUM:count" , "how many time a day do the typical person go to the bathroom" 
"LOC:other" , "what islands get their name from the spanish baja mar mean shallow water" 
"HUM:ind" , "what author of the day of our life cookbook sign on in a liz chandler in tv day of our life" 
"HUM:ind" , "what president be assassinate by charles guiteau" 
"HUM:ind" , "what comic of tv golden age go by the motto anything for a laugh" 
"NUM:count" , "how many foot long be a baseball pitcher rubber" 
"LOC:country" , "what be the nationality of jackson pollock" 
"HUM:ind" , "who invent the game bowling" 
"NUM:count" , "how many time large than life size be the statue of liberty" 
"LOC:country" , "what be the name of the country which hitler rule" 
"NUM:period" , "how long do a human live" 
"LOC:other" , "where can i get economic statistic" 
"NUM:count" , "how many superbowls have the er win" 
"HUM:ind" , "who be the creator of the muppets" 
"HUM:ind" , "which of the following celebrity start his career a a disc jockey" 
"NUM:other" , "what a perfect score in a gymnastics exercise" 
"LOC:city" , "what the capital of iowa" 
"HUM:ind" , "who ask you to do the with her in" 
"HUM:ind" , "what president serve for five year six month and day" 
"HUM:ind" , "what be drew barrymore middle name" 
"HUM:ind" , "what be supergirl secret identity" 
"LOC:other" , "what be the u federal government website for standard industrial classification code sic" 
"HUM:ind" , "who make the first surfboard" 
"HUM:ind" , "what be the name of the police officer who try to keep order in top cat neighborhood" 
"NUM:date" , "on what date do rosa park become a symbol of the civil right movement for refuse to give up her seat on the bus" 
"NUM:perc" , "what be the odds on a roulette table" 
"NUM:date" , "in what year do the u marine corps adopt the motto semper fidelis" 
"NUM:count" , "how many film do ingmar bergman make" 
"HUM:ind" , "who be the greek god of the sea" 
"HUM:ind" , "what music personality be the father of an adopted son name han christian henderson" 
"NUM:date" , "when be the first barbie produce" 
"HUM:ind" , "who be the first woman governor of wyoming" 
"NUM:count" , "how many more week of winter be there if a ground hog see his shadow" 
"HUM:ind" , "what green bay packer coach philosophize there nothing that stoke the fire like hate" 
"LOC:other" , "where be the henry ford museum" 
"NUM:date" , "what year do nylon stocking first go on sale" 
"LOC:city" , "what be the large city in the u" 
"HUM:ind" , "what famous comedian recently try without success to revive the play" 
"LOC:other" , "what be drew barrymore email address" 
"LOC:country" , "what nationality be the people who die in the black hole of calcutta" 
"HUM:ind" , "what tv family sometimes buys eclair from nelson bakery" 
"HUM:ind" , "what enigmatic vice president be once tried and acquit for treason in a plot to set up his own independent empire in the west" 
"HUM:ind" , "who be charles lindbergh wife" 
"HUM:ind" , "who sing angel eye from the" 
"NUM:date" , "when do the jurassic period end" 
"NUM:date" , "what be the date of iraq invasion of kuwait" 
"LOC:other" , "what be the name of the planet that the ewoks live on" 
"HUM:ind" , "what character do maurice gosfield play on the phil silver show" 
"LOC:other" , "what sea surround the cayman islands" 
"NUM:count" , "how many different vegetation zone be there" 
"LOC:other" , "what ocean be amelia earhart fly over when she disappear" 
"HUM:ind" , "what be the nickname of german fly ace manfred von richthofen" 
"LOC:country" , "what country other than germany invade poland in september" 
"NUM:date" , "when be the bill of right ratify" 
"LOC:state" , "what be the large state east of the mississippi" 
"NUM:other" , "what the population of biloxi mississippi" 
"LOC:other" , "what california desert be dub high desert" 
"HUM:ind" , "who write hamlet" 
"LOC:other" , "where do the blackhawks maintain their operation" 
"LOC:country" , "what african country be found by freed american slave in" 
"NUM:date" , "what year do the first issue of playboy come out" 
"LOC:city" , "the orange bowl be locate in what city" 
"HUM:ind" , "what pseudonym do william sydney porter use in write the gift of the magi" 
"HUM:ind" , "what be the last name of lucy and linus from the peanut comic strip" 
"HUM:ind" , "what cheery fellow get the zip code from the postal service in" 
"NUM:count" , "how many layer do a bottle of settle into" 
"LOC:other" , "what the near star to earth" 
"LOC:other" , "where be inoco base" 
"NUM:count" , "what be the number of assassination and attempt to assassinate in the since" 
"NUM:count" , "how many station do you shoot from in the basketball game around the world" 
"HUM:ind" , "who be the russian ambassador to hungary during the uprising" 
"HUM:ind" , "who hold the nfl record for most touchdown in a season" 
"NUM:period" , "what be the average age a horse live" 
"LOC:other" , "what planet would you visit to see bebrenia arcadia and amazonis" 
"LOC:other" , "where be natick" 
"HUM:ind" , "who write the pine of rome" 
"LOC:other" , "where be the valley of the king" 
"LOC:other" , "where do the sport of originate" 
"HUM:ind" , "who play for the chicago bear houston oiler and oakland raider in a pro football career" 
"LOC:other" , "where be the union stockyard" 
"LOC:other" , "where do the weird shape of the dinner fish knife originate from" 
"NUM:count" , "how many child do ray davy of the kink have" 
"NUM:count" , "how many year do shea gould practice law in los angeles" 
"NUM:count" , "how much salt be in the ocean" 
"HUM:ind" , "who lead the star ship enterprise in star trek" 
"HUM:ind" , "who win world war ii" 
"LOC:other" , "where do the get most of it energy" 
"LOC:country" , "what country after canada and mexico be close to the" 
"HUM:ind" , "who be garrett morgan marry to" 
"HUM:ind" , "what be the name of darth vader son" 
"NUM:count" , "how many star be there in big dipper" 
"NUM:count" , "how many wing do a flea have" 
"LOC:country" , "what country have be call the queen of the antilles" 
"LOC:other" , "where can i find a website that give comparison of good price" 
