@relation answerExp9
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"HUM:ind" , "what" , "two" , "baseball" , "players" , "what two" , "two baseball" , "what baseball" , "what players" , "two players" , "baseball players" 
"NUM:perc" , "of" , "children" , "between" , "the" , "of children" , "children between" , "of between" , "of the" , "children the" , "between the" 
"LOC:state" , "what" , "the" , "northernmost" , "state" , "what the" , "the northernmost" , "what northernmost" , "what state" , "the state" , "northernmost state" 
"LOC:other" , "name" , "an" , "art" , "gallery" , "name an" , "an art" , "name art" , "name gallery" , "an gallery" , "art gallery" 
"LOC:other" , "what" , "building" , "are" , "british" , "what building" , "building are" , "what are" , "what british" , "building british" , "are british" 
"HUM:ind" , "who" , "did" , "dita" , "beard" , "who did" , "did dita" , "who dita" , "who beard" , "did beard" , "dita beard" 
"LOC:country" , "what" , "country" , "was" , "first" , "what country" , "country was" , "what was" , "what first" , "country first" , "was first" 
"HUM:ind" , "who" , "served" , "as" , "inspiration" , "who served" , "served as" , "who as" , "who inspiration" , "served inspiration" , "as inspiration" 
"NUM:code" , "what" , "is" , "columbia" , "tristar" , "what is" , "is columbia" , "what columbia" , "what tristar" , "is tristar" , "columbia tristar" 
"HUM:ind" , "which" , "one" , "of" , "the" , "which one" , "one of" , "which of" , "which the" , "one the" , "of the" 
"HUM:ind" , "who" , "is" , "the" , "best" , "who is" , "is the" , "who the" , "who best" , "is best" , "the best" 
"LOC:city" , "what" , "is" , "the" , "capital" , "what is" , "is the" , "what the" , "what capital" , "is capital" , "the capital" 
"LOC:other" , "what" , "continent" , "is" , "bolivia" , "what continent" , "continent is" , "what is" , "what bolivia" , "continent bolivia" , "is bolivia" 
"HUM:ind" , "who" , "killed" , "more" , "people" , "who killed" , "killed more" , "who more" , "who people" , "killed people" , "more people" 
"LOC:state" , "what" , "state" , "has" , "the" , "what state" , "state has" , "what has" , "what the" , "state the" , "has the" 
"NUM:count" , "what" , "was" , "the" , "highway" , "what was" , "was the" , "what the" , "what highway" , "was highway" , "the highway" 
"HUM:ind" , "what" , "mustachioed" , "comedian" , "portrayed" , "what mustachioed" , "mustachioed comedian" , "what comedian" , "what portrayed" , "mustachioed portrayed" , "comedian portrayed" 
"NUM:money" , "what" , "does" , "each" , "of" , "what does" , "does each" , "what each" , "what of" , "does of" , "each of" 
"HUM:ind" , "what" , "actor" , "and" , "world" , "what actor" , "actor and" , "what and" , "what world" , "actor world" , "and world" 
"LOC:city" , "what" , "city" , "is" , "often" , "what city" , "city is" , "what is" , "what often" , "city often" , "is often" 
"HUM:ind" , "who" , "portrayed" , "dracula" , "in" , "who portrayed" , "portrayed dracula" , "who dracula" , "who in" , "portrayed in" , "dracula in" 
"NUM:date" , "when" , "were" , "fish" , "first" , "when were" , "were fish" , "when fish" , "when first" , "were first" , "fish first" 
"HUM:ind" , "what" , "president" , "favorite" , "biblical" , "what president" , "president favorite" , "what favorite" , "what biblical" , "president biblical" , "favorite biblical" 
"NUM:count" , "how" , "many" , "elevators" , "do" , "how many" , "many elevators" , "how elevators" , "how do" , "many do" , "elevators do" 
"LOC:country" , "what" , "country" , "was" , "sir" , "what country" , "country was" , "what was" , "what sir" , "country sir" , "was sir" 
"LOC:city" , "what" , "city" , "was" , "john" , "what city" , "city was" , "what was" , "what john" , "city john" , "was john" 
"NUM:period" , "how" , "long" , "does" , "a" , "how long" , "long does" , "how does" , "how a" , "long a" , "does a" 
"NUM:money" , "what" , "can" , "you" , "be" , "what can" , "can you" , "what you" , "what be" , "can be" , "you be" 
"LOC:other" , "where" , "did" , "the" , "battle" , "where did" , "did the" , "where the" , "where battle" , "did battle" , "the battle" 
"NUM:count" , "how" , "much" , "will" , "the" , "how much" , "much will" , "how will" , "how the" , "much the" , "will the" 
"HUM:ind" , "what" , "mystery" , "writer" , "penned" , "what mystery" , "mystery writer" , "what writer" , "what penned" , "mystery penned" , "writer penned" 
"LOC:state" , "what" , "state" , "full" , "of" , "what state" , "state full" , "what full" , "what of" , "state of" , "full of" 
"LOC:other" , "what" , "is" , "the" , "tallest" , "what is" , "is the" , "what the" , "what tallest" , "is tallest" , "the tallest" 
"LOC:other" , "where" , "is" , "sinn" , "fein" , "where is" , "is sinn" , "where sinn" , "where fein" , "is fein" , "sinn fein" 
"NUM:date" , "the" , "iraqis" , "launched" , "their" , "the iraqis" , "iraqis launched" , "the launched" , "the their" , "iraqis their" , "launched their" 
"LOC:country" , "what" , "country" , "northernmost" , "city" , "what country" , "country northernmost" , "what northernmost" , "what city" , "country city" , "northernmost city" 
"LOC:other" , "what" , "sound" , "does" , "olympia" , "what sound" , "sound does" , "what does" , "what olympia" , "sound olympia" , "does olympia" 
"LOC:city" , "what" , "kentucky" , "city" , "calls" , "what kentucky" , "kentucky city" , "what city" , "what calls" , "kentucky calls" , "city calls" 
"NUM:count" , "how" , "many" , "are" , "there" , "how many" , "many are" , "how are" , "how there" , "many there" , "are there" 
"LOC:country" , "what" , "european" , "country" , "boasts" , "what european" , "european country" , "what country" , "what boasts" , "european boasts" , "country boasts" 
"LOC:state" , "what" , "state" , "is" , "dixville" , "what state" , "state is" , "what is" , "what dixville" , "state dixville" , "is dixville" 
"LOC:other" , "where" , "was" , "the" , "cisalpine" , "where was" , "was the" , "where the" , "where cisalpine" , "was cisalpine" , "the cisalpine" 
"LOC:other" , "what" , "is" , "the" , "largest" , "what is" , "is the" , "what the" , "what largest" , "is largest" , "the largest" 
"HUM:ind" , "what" , "is" , "the" , "protagonist" , "what is" , "is the" , "what the" , "what protagonist" , "is protagonist" , "the protagonist" 
"HUM:ind" , "what" , "presidential" , "press" , "secretary" , "what presidential" , "presidential press" , "what press" , "what secretary" , "presidential secretary" , "press secretary" 
"HUM:ind" , "which" , "of" , "these" , "are" , "which of" , "of these" , "which these" , "which are" , "of are" , "these are" 
"HUM:ind" , "who" , "was" , "the" , "original" , "who was" , "was the" , "who the" , "who original" , "was original" , "the original" 
"LOC:other" , "where" , "is" , "the" , "location" , "where is" , "is the" , "where the" , "where location" , "is location" , "the location" 
"NUM:date" , "when" , "is" , "president" , "nixon" , "when is" , "is president" , "when president" , "when nixon" , "is nixon" , "president nixon" 
"HUM:ind" , "whose" , "cupboard" , "was" , "bare" , "whose cupboard" , "cupboard was" , "whose was" , "whose bare" , "cupboard bare" , "was bare" 
"LOC:other" , "what" , "are" , "the" , "seven" , "what are" , "are the" , "what the" , "what seven" , "are seven" , "the seven" 
"HUM:ind" , "what" , "the" , "name" , "of" , "what the" , "the name" , "what name" , "what of" , "the of" , "name of" 
"HUM:ind" , "who" , "invented" , "the" , "vacuum" , "who invented" , "invented the" , "who the" , "who vacuum" , "invented vacuum" , "the vacuum" 
"HUM:ind" , "what" , "fictional" , "character" , "attends" , "what fictional" , "fictional character" , "what character" , "what attends" , "fictional attends" , "character attends" 
"NUM:count" , "how" , "many" , "people" , "in" , "how many" , "many people" , "how people" , "how in" , "many in" , "people in" 
"HUM:ind" , "who" , "does" , "shakespeare" , "antonio" , "who does" , "does shakespeare" , "who shakespeare" , "who antonio" , "does antonio" , "shakespeare antonio" 
"LOC:country" , "which" , "country" , "is" , "known" , "which country" , "country is" , "which is" , "which known" , "country known" , "is known" 
"NUM:count" , "how" , "many" , "times" , "a" , "how many" , "many times" , "how times" , "how a" , "many a" , "times a" 
"HUM:ind" , "who" , "is" , "the" , "voyager" , "who is" , "is the" , "who the" , "who voyager" , "is voyager" , "the voyager" 
"HUM:ind" , "what" , "two" , "commanders" , "directed" , "what two" , "two commanders" , "what commanders" , "what directed" , "two directed" , "commanders directed" 
"HUM:ind" , "name" , "the" , "creator" , "of" , "name the" , "the creator" , "name creator" , "name of" , "the of" , "creator of" 
"HUM:ind" , "who" , "replies" , "i" , "know" , "who replies" , "replies i" , "who i" , "who know" , "replies know" , "i know" 
"LOC:other" , "what" , "the" , "home" , "of" , "what the" , "the home" , "what home" , "what of" , "the of" , "home of" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "who" , "won" , "the" , "academy" , "who won" , "won the" , "who the" , "who academy" , "won academy" , "the academy" 
"HUM:ind" , "name" , "the" , "first" , "private" , "name the" , "the first" , "name first" , "name private" , "the private" , "first private" 
"HUM:ind" , "what" , "was" , "football" , "star" , "what was" , "was football" , "what football" , "what star" , "was star" , "football star" 
"HUM:ind" , "what" , "singer" , "sings" , "oh" , "what singer" , "singer sings" , "what sings" , "what oh" , "singer oh" , "sings oh" 
"NUM:count" , "how" , "much" , "pizza" , "do" , "how much" , "much pizza" , "how pizza" , "how do" , "much do" , "pizza do" 
"LOC:other" , "what" , "is" , "the" , "website" , "what is" , "is the" , "what the" , "what website" , "is website" , "the website" 
"LOC:state" , "what" , "state" , "has" , "the" , "what state" , "state has" , "what has" , "what the" , "state the" , "has the" 
"LOC:state" , "what" , "state" , "home" , "to" , "what state" , "state home" , "what home" , "what to" , "state to" , "home to" 
"NUM:speed" , "how" , "fast" , "do" , "cheetahs" , "how fast" , "fast do" , "how do" , "how cheetahs" , "fast cheetahs" , "do cheetahs" 
"NUM:speed" , "how" , "fast" , "is" , "a" , "how fast" , "fast is" , "how is" , "how a" , "fast a" , "is a" 
"HUM:ind" , "what" , "count" , "did" , "alexandre" , "what count" , "count did" , "what did" , "what alexandre" , "count alexandre" , "did alexandre" 
"NUM:perc" , "what" , "are" , "the" , "odds" , "what are" , "are the" , "what the" , "what odds" , "are odds" , "the odds" 
"LOC:other" , "what" , "is" , "the" , "largest" , "what is" , "is the" , "what the" , "what largest" , "is largest" , "the largest" 
"NUM:dist" , "how" , "far" , "is" , "london" , "how far" , "far is" , "how is" , "how london" , "far london" , "is london" 
"NUM:count" , "how" , "many" , "years" , "old" , "how many" , "many years" , "how years" , "how old" , "many old" , "years old" 
"LOC:other" , "where" , "does" , "the" , "santa" , "where does" , "does the" , "where the" , "where santa" , "does santa" , "the santa" 
"LOC:city" , "which" , "city" , "in" , "canada" , "which city" , "city in" , "which in" , "which canada" , "city canada" , "in canada" 
"NUM:period" , "how" , "old" , "is" , "stevie" , "how old" , "old is" , "how is" , "how stevie" , "old stevie" , "is stevie" 
"HUM:ind" , "who" , "was" , "the" , "first" , "who was" , "was the" , "who the" , "who first" , "was first" , "the first" 
"HUM:ind" , "who" , "is" , "luke" , "skywalker" , "who is" , "is luke" , "who luke" , "who skywalker" , "is skywalker" , "luke skywalker" 
"LOC:other" , "where" , "is" , "the" , "isle" , "where is" , "is the" , "where the" , "where isle" , "is isle" , "the isle" 
"NUM:other" , "what" , "was" , "the" , "death" , "what was" , "was the" , "what the" , "what death" , "was death" , "the death" 
"NUM:date" , "when" , "will" , "the" , "millennium" , "when will" , "will the" , "when the" , "when millennium" , "will millennium" , "the millennium" 
"HUM:ind" , "who" , "created" , "the" , "comic" , "who created" , "created the" , "who the" , "who comic" , "created comic" , "the comic" 
"HUM:ind" , "which" , "vietnamese" , "terrorist" , "is" , "which vietnamese" , "vietnamese terrorist" , "which terrorist" , "which is" , "vietnamese is" , "terrorist is" 
"LOC:other" , "what" , "do" , "we" , "call" , "what do" , "do we" , "what we" , "what call" , "do call" , "we call" 
"LOC:country" , "what" , "country" , "capital" , "is" , "what country" , "country capital" , "what capital" , "what is" , "country is" , "capital is" 
"LOC:other" , "where" , "does" , "ray" , "bradbury" , "where does" , "does ray" , "where ray" , "where bradbury" , "does bradbury" , "ray bradbury" 
"HUM:ind" , "who" , "is" , "the" , "current" , "who is" , "is the" , "who the" , "who current" , "is current" , "the current" 
"HUM:ind" , "who" , "established" , "a" , "viking" , "who established" , "established a" , "who a" , "who viking" , "established viking" , "a viking" 
"NUM:other" , "what" , "is" , "the" , "latitude" , "what is" , "is the" , "what the" , "what latitude" , "is latitude" , "the latitude" 
"LOC:other" , "where" , "can" , "i" , "get" , "where can" , "can i" , "where i" , "where get" , "can get" , "i get" 
"LOC:other" , "where" , "did" , "honecker" , "rule" , "where did" , "did honecker" , "where honecker" , "where rule" , "did rule" , "honecker rule" 
"NUM:period" , "what" , "is" , "the" , "life" , "what is" , "is the" , "what the" , "what life" , "is life" , "the life" 
"NUM:count" , "how" , "many" , "member" , "states" , "how many" , "many member" , "how member" , "how states" , "many states" , "member states" 
"HUM:ind" , "who" , "shot" , "and" , "killed" , "who shot" , "shot and" , "who and" , "who killed" , "shot killed" , "and killed" 
"HUM:ind" , "what" , "future" , "president" , "became" , "what future" , "future president" , "what president" , "what became" , "future became" , "president became" 
"HUM:ind" , "who" , "was" , "the" , "architect" , "who was" , "was the" , "who the" , "who architect" , "was architect" , "the architect" 
"NUM:dist" , "what" , "are" , "the" , "dimensions" , "what are" , "are the" , "what the" , "what dimensions" , "are dimensions" , "the dimensions" 
"NUM:date" , "when" , "was" , "cnn" , "first" , "when was" , "was cnn" , "when cnn" , "when first" , "was first" , "cnn first" 
"LOC:country" , "what" , "african" , "country" , "is" , "what african" , "african country" , "what country" , "what is" , "african is" , "country is" 
"HUM:ind" , "what" , "was" , "the" , "christian" , "what was" , "was the" , "what the" , "what christian" , "was christian" , "the christian" 
"HUM:ind" , "what" , "hearing" , "artist" , "painted" , "what hearing" , "hearing artist" , "what artist" , "what painted" , "hearing painted" , "artist painted" 
"HUM:ind" , "who" , "wrote" , "sons" , "and" , "who wrote" , "wrote sons" , "who sons" , "who and" , "wrote and" , "sons and" 
"LOC:city" , "what" , "french" , "seaport" , "claims" , "what french" , "french seaport" , "what seaport" , "what claims" , "french claims" , "seaport claims" 
"NUM:period" , "how" , "long" , "does" , "it" , "how long" , "long does" , "how does" , "how it" , "long it" , "does it" 
"NUM:count" , "how" , "many" , "milliseconds" , "in" , "how many" , "many milliseconds" , "how milliseconds" , "how in" , "many in" , "milliseconds in" 
"HUM:ind" , "what" , "cherokee" , "indian" , "gave" , "what cherokee" , "cherokee indian" , "what indian" , "what gave" , "cherokee gave" , "indian gave" 
"NUM:date" , "when" , "were" , "camcorders" , "introduced" , "when were" , "were camcorders" , "when camcorders" , "when introduced" , "were introduced" , "camcorders introduced" 
"NUM:perc" , "what" , "is" , "the" , "chance" , "what is" , "is the" , "what the" , "what chance" , "is chance" , "the chance" 
"HUM:ind" , "who" , "was" , "the" , "star" , "who was" , "was the" , "who the" , "who star" , "was star" , "the star" 
"LOC:country" , "what" , "countries" , "have" , "the" , "what countries" , "countries have" , "what have" , "what the" , "countries the" , "have the" 
"HUM:ind" , "what" , "was" , "william" , "cody" , "what was" , "was william" , "what william" , "what cody" , "was cody" , "william cody" 
"HUM:ind" , "who" , "did" , "richard" , "nixon" , "who did" , "did richard" , "who richard" , "who nixon" , "did nixon" , "richard nixon" 
"HUM:ind" , "which" , "of" , "the" , "following" , "which of" , "of the" , "which the" , "which following" , "of following" , "the following" 
"NUM:money" , "what" , "is" , "the" , "exchange" , "what is" , "is the" , "what the" , "what exchange" , "is exchange" , "the exchange" 
"NUM:count" , "how" , "many" , "states" , "did" , "how many" , "many states" , "how states" , "how did" , "many did" , "states did" 
"NUM:count" , "how" , "many" , "shillings" , "more" , "how many" , "many shillings" , "how shillings" , "how more" , "many more" , "shillings more" 
"HUM:ind" , "who" , "took" , "over" , "as" , "who took" , "took over" , "who over" , "who as" , "took as" , "over as" 
"HUM:ind" , "what" , "nazi" , "leader" , "killed" , "what nazi" , "nazi leader" , "what leader" , "what killed" , "nazi killed" , "leader killed" 
"NUM:other" , "what" , "brand" , "number" , "graces" , "what brand" , "brand number" , "what number" , "what graces" , "brand graces" , "number graces" 
"LOC:city" , "what" , "city" , "is" , "terrorized" , "what city" , "city is" , "what is" , "what terrorized" , "city terrorized" , "is terrorized" 
"HUM:ind" , "who" , "is" , "the" , "fastest" , "who is" , "is the" , "who the" , "who fastest" , "is fastest" , "the fastest" 
"LOC:other" , "what" , "is" , "the" , "best" , "what is" , "is the" , "what the" , "what best" , "is best" , "the best" 
"HUM:ind" , "who" , "betrayed" , "norway" , "to" , "who betrayed" , "betrayed norway" , "who norway" , "who to" , "betrayed to" , "norway to" 
"HUM:ind" , "who" , "took" , "the" , "toys" , "who took" , "took the" , "who the" , "who toys" , "took toys" , "the toys" 
"HUM:ind" , "who" , "were" , "the" , "picts" , "who were" , "were the" , "who the" , "who picts" , "were picts" , "the picts" 
"HUM:ind" , "who" , "is" , "stationed" , "at" , "who is" , "is stationed" , "who stationed" , "who at" , "is at" , "stationed at" 
"NUM:date" , "in" , "what" , "year" , "did" , "in what" , "what year" , "in year" , "in did" , "what did" , "year did" 
"NUM:dist" , "how" , "tall" , "is" , "the" , "how tall" , "tall is" , "how is" , "how the" , "tall the" , "is the" 
"HUM:ind" , "what" , "actor" , "dressed" , "up" , "what actor" , "actor dressed" , "what dressed" , "what up" , "actor up" , "dressed up" 
"NUM:period" , "how" , "long" , "did" , "it" , "how long" , "long did" , "how did" , "how it" , "long it" , "did it" 
"NUM:count" , "how" , "much" , "of" , "the" , "how much" , "much of" , "how of" , "how the" , "much the" , "of the" 
"LOC:other" , "what" , "lake" , "is" , "sheboygan" , "what lake" , "lake is" , "what is" , "what sheboygan" , "lake sheboygan" , "is sheboygan" 
"LOC:other" , "what" , "is" , "the" , "largest" , "what is" , "is the" , "what the" , "what largest" , "is largest" , "the largest" 
"NUM:count" , "how" , "many" , "people" , "died" , "how many" , "many people" , "how people" , "how died" , "many died" , "people died" 
"HUM:ind" , "who" , "wrote" , "the" , "look" , "who wrote" , "wrote the" , "who the" , "who look" , "wrote look" , "the look" 
"HUM:ind" , "what" , "is" , "the" , "name" , "what is" , "is the" , "what the" , "what name" , "is name" , "the name" 
"HUM:ind" , "who" , "claims" , "to" , "have" , "who claims" , "claims to" , "who to" , "who have" , "claims have" , "to have" 
"HUM:ind" , "what" , "honeymooners" , "actress" , "did" , "what honeymooners" , "honeymooners actress" , "what actress" , "what did" , "honeymooners did" , "actress did" 
"HUM:ind" , "what" , "was" , "the" , "role" , "what was" , "was the" , "what the" , "what role" , "was role" , "the role" 
"HUM:ind" , "silly" , "putty" , "was" , "invented" , "silly putty" , "putty was" , "silly was" , "silly invented" , "putty invented" , "was invented" 
"HUM:ind" , "who" , "invented" , "the" , "paper" , "who invented" , "invented the" , "who the" , "who paper" , "invented paper" , "the paper" 
"HUM:ind" , "whom" , "did" , "lauren" , "bacall" , "whom did" , "did lauren" , "whom lauren" , "whom bacall" , "did bacall" , "lauren bacall" 
"NUM:count" , "how" , "many" , "times" , "in" , "how many" , "many times" , "how times" , "how in" , "many in" , "times in" 
"LOC:city" , "what" , "city" , "or" , "state" , "what city" , "city or" , "what or" , "what state" , "city state" , "or state" 
"NUM:period" , "shea" , "and" , "gould" , "had" , "shea and" , "and gould" , "shea gould" , "shea had" , "and had" , "gould had" 
"NUM:date" , "what" , "year" , "did" , "degas" , "what year" , "year did" , "what did" , "what degas" , "year degas" , "did degas" 
"HUM:ind" , "what" , "composer" , "was" , "awarded" , "what composer" , "composer was" , "what was" , "what awarded" , "composer awarded" , "was awarded" 
"NUM:count" , "how" , "many" , "url" , "extensions" , "how many" , "many url" , "how url" , "how extensions" , "many extensions" , "url extensions" 
"NUM:period" , "how" , "long" , "after" , "intercourse" , "how long" , "long after" , "how after" , "how intercourse" , "long intercourse" , "after intercourse" 
"HUM:ind" , "who" , "created" , "the" , "fantastic" , "who created" , "created the" , "who the" , "who fantastic" , "created fantastic" , "the fantastic" 
"HUM:ind" , "who" , "is" , "the" , "composer" , "who is" , "is the" , "who the" , "who composer" , "is composer" , "the composer" 
"LOC:other" , "where" , "are" , "all" , "european" , "where are" , "are all" , "where all" , "where european" , "are european" , "all european" 
"HUM:ind" , "who" , "was" , "the" , "author" , "who was" , "was the" , "who the" , "who author" , "was author" , "the author" 
"HUM:ind" , "what" , "department" , "store" , "heir" , "what department" , "department store" , "what store" , "what heir" , "department heir" , "store heir" 
"LOC:city" , "what" , "was" , "the" , "first" , "what was" , "was the" , "what the" , "what first" , "was first" , "the first" 
"LOC:state" , "what" , "state" , "has" , "the" , "what state" , "state has" , "what has" , "what the" , "state the" , "has the" 
"LOC:state" , "what" , "state" , "ends" , "with" , "what state" , "state ends" , "what ends" , "what with" , "state with" , "ends with" 
"NUM:count" , "how" , "many" , "varieties" , "of" , "how many" , "many varieties" , "how varieties" , "how of" , "many of" , "varieties of" 
"LOC:other" , "what" , "are" , "the" , "largest" , "what are" , "are the" , "what the" , "what largest" , "are largest" , "the largest" 
"NUM:count" , "how" , "many" , "people" , "live" , "how many" , "many people" , "how people" , "how live" , "many live" , "people live" 
"HUM:ind" , "who" , "was" , "camp" , "david" , "who was" , "was camp" , "who camp" , "who david" , "was david" , "camp david" 
"HUM:ind" , "who" , "portrayed" , "the" , "man" , "who portrayed" , "portrayed the" , "who the" , "who man" , "portrayed man" , "the man" 
"NUM:money" , "how" , "much" , "money" , "was" , "how much" , "much money" , "how money" , "how was" , "much was" , "money was" 
"NUM:date" , "in" , "what" , "year" , "was" , "in what" , "what year" , "in year" , "in was" , "what was" , "year was" 
"LOC:country" , "what" , "country" , "boasts" , "the" , "what country" , "country boasts" , "what boasts" , "what the" , "country the" , "boasts the" 
"NUM:money" , "what" , "is" , "the" , "regular" , "what is" , "is the" , "what the" , "what regular" , "is regular" , "the regular" 
"LOC:other" , "what" , "metropolis" , "landmark" , "was" , "what metropolis" , "metropolis landmark" , "what landmark" , "what was" , "metropolis was" , "landmark was" 
"LOC:other" , "where" , "can" , "one" , "find" , "where can" , "can one" , "where one" , "where find" , "can find" , "one find" 
"LOC:city" , "in" , "what" , "city" , "is" , "in what" , "what city" , "in city" , "in is" , "what is" , "city is" 
"HUM:ind" , "who" , "won" , "the" , "first" , "who won" , "won the" , "who the" , "who first" , "won first" , "the first" 
"HUM:ind" , "who" , "was" , "credited" , "with" , "who was" , "was credited" , "who credited" , "who with" , "was with" , "credited with" 
"LOC:country" , "what" , "nationality" , "was" , "jackson" , "what nationality" , "nationality was" , "what was" , "what jackson" , "nationality jackson" , "was jackson" 
"NUM:count" , "how" , "much" , "of" , "the" , "how much" , "much of" , "how of" , "how the" , "much the" , "of the" 
"NUM:date" , "when" , "was" , "queen" , "victoria" , "when was" , "was queen" , "when queen" , "when victoria" , "was victoria" , "queen victoria" 
"NUM:count" , "how" , "many" , "people" , "were" , "how many" , "many people" , "how people" , "how were" , "many were" , "people were" 
"LOC:other" , "what" , "is" , "worth" , "seeing" , "what is" , "is worth" , "what worth" , "what seeing" , "is seeing" , "worth seeing" 
"NUM:date" , "when" , "was" , "yemen" , "reunified" , "when was" , "was yemen" , "when yemen" , "when reunified" , "was reunified" , "yemen reunified" 
"HUM:ind" , "what" , "mexican" , "leader" , "was" , "what mexican" , "mexican leader" , "what leader" , "what was" , "mexican was" , "leader was" 
"NUM:money" , "what" , "is" , "the" , "federal" , "what is" , "is the" , "what the" , "what federal" , "is federal" , "the federal" 
"NUM:other" , "what" , "are" , "the" , "unemployment" , "what are" , "are the" , "what the" , "what unemployment" , "are unemployment" , "the unemployment" 
"LOC:other" , "where" , "is" , "santa" , "lucia" , "where is" , "is santa" , "where santa" , "where lucia" , "is lucia" , "santa lucia" 
"HUM:ind" , "what" , "female" , "painter" , "produced" , "what female" , "female painter" , "what painter" , "what produced" , "female produced" , "painter produced" 
"HUM:ind" , "what" , "are" , "names" , "of" , "what are" , "are names" , "what names" , "what of" , "are of" , "names of" 
"NUM:other" , "what" , "is" , "the" , "horsepower" , "what is" , "is the" , "what the" , "what horsepower" , "is horsepower" , "the horsepower" 
"NUM:date" , "what" , "year" , "did" , "apartheid" , "what year" , "year did" , "what did" , "what apartheid" , "year apartheid" , "did apartheid" 
"HUM:ind" , "who" , "created" , "big" , "ben" , "who created" , "created big" , "who big" , "who ben" , "created ben" , "big ben" 
"LOC:city" , "what" , "city" , "is" , "found" , "what city" , "city is" , "what is" , "what found" , "city found" , "is found" 
"LOC:state" , "what" , "populous" , "state" , "covers" , "what populous" , "populous state" , "what state" , "what covers" , "populous covers" , "state covers" 
"LOC:state" , "in" , "what" , "state" , "was" , "in what" , "what state" , "in state" , "in was" , "what was" , "state was" 
"NUM:date" , "when" , "did" , "aldous" , "huxley" , "when did" , "did aldous" , "when aldous" , "when huxley" , "did huxley" , "aldous huxley" 
"LOC:country" , "what" , "country" , "did" , "the" , "what country" , "country did" , "what did" , "what the" , "country the" , "did the" 
"NUM:period" , "how" , "long" , "was" , "the" , "how long" , "long was" , "how was" , "how the" , "long the" , "was the" 
"NUM:count" , "how" , "many" , "people" , "live" , "how many" , "many people" , "how people" , "how live" , "many live" , "people live" 
"HUM:ind" , "what" , "actress" , "was" , "known" , "what actress" , "actress was" , "what was" , "what known" , "actress known" , "was known" 
"HUM:ind" , "who" , "played" , "the" , "title" , "who played" , "played the" , "who the" , "who title" , "played title" , "the title" 
"HUM:ind" , "who" , "invented" , "the" , "game" , "who invented" , "invented the" , "who the" , "who game" , "invented game" , "the game" 
"NUM:date" , "when" , "did" , "humans" , "first" , "when did" , "did humans" , "when humans" , "when first" , "did first" , "humans first" 
"LOC:city" , "what" , "city" , "in" , "the" , "what city" , "city in" , "what in" , "what the" , "city the" , "in the" 
"LOC:other" , "what" , "tokyo" , "street" , "glitters" , "what tokyo" , "tokyo street" , "what street" , "what glitters" , "tokyo glitters" , "street glitters" 
"NUM:period" , "what" , "was" , "the" , "average" , "what was" , "was the" , "what the" , "what average" , "was average" , "the average" 
"HUM:ind" , "when" , "mighty" , "mouse" , "was" , "when mighty" , "mighty mouse" , "when mouse" , "when was" , "mighty was" , "mouse was" 
"NUM:count" , "how" , "many" , "presidents" , "were" , "how many" , "many presidents" , "how presidents" , "how were" , "many were" , "presidents were" 
"NUM:date" , "when" , "was" , "the" , "first" , "when was" , "was the" , "when the" , "when first" , "was first" , "the first" 
"HUM:ind" , "what" , "is" , "nathan" , "hamill" , "what is" , "is nathan" , "what nathan" , "what hamill" , "is hamill" , "nathan hamill" 
"NUM:count" , "how" , "many" , "disks" , "does" , "how many" , "many disks" , "how disks" , "how does" , "many does" , "disks does" 
"NUM:period" , "how" , "old" , "is" , "the" , "how old" , "old is" , "how is" , "how the" , "old the" , "is the" 
"NUM:perc" , "what" , "percentage" , "of" , "children" , "what percentage" , "percentage of" , "what of" , "what children" , "percentage children" , "of children" 
"NUM:count" , "how" , "many" , "years" , "ago" , "how many" , "many years" , "how years" , "how ago" , "many ago" , "years ago" 
"NUM:count" , "how" , "many" , "people" , "was" , "how many" , "many people" , "how people" , "how was" , "many was" , "people was" 
"LOC:country" , "what" , "country" , "are" , "you" , "what country" , "country are" , "what are" , "what you" , "country you" , "are you" 
"HUM:ind" , "what" , "new" , "york" , "yankee" , "what new" , "new york" , "what york" , "what yankee" , "new yankee" , "york yankee" 
"HUM:ind" , "who" , "is" , "considered" , "the" , "who is" , "is considered" , "who considered" , "who the" , "is the" , "considered the" 
"HUM:ind" , "who" , "penned" , "neither" , "a" , "who penned" , "penned neither" , "who neither" , "who a" , "penned a" , "neither a" 
"HUM:ind" , "who" , "headed" , "hitler" , "infamous" , "who headed" , "headed hitler" , "who hitler" , "who infamous" , "headed infamous" , "hitler infamous" 
"LOC:city" , "what" , "south" , "american" , "city" , "what south" , "south american" , "what american" , "what city" , "south city" , "american city" 
"LOC:city" , "what" , "german" , "city" , "do" , "what german" , "german city" , "what city" , "what do" , "german do" , "city do" 
"LOC:other" , "what" , "island" , "group" , "contains" , "what island" , "island group" , "what group" , "what contains" , "island contains" , "group contains" 
