@relation answerExp8
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"HUM:ind" , "who" , "live" , "at" , "who live" , "live at" , "who at" 
"NUM:count" , "how" , "many" , "question" , "how many" , "many question" , "how question" 
"HUM:ind" , "who" , "play" , "humpty" , "who play" , "play humpty" , "who humpty" 
"HUM:ind" , "who" , "be" , "karenna" , "who be" , "be karenna" , "who karenna" 
"HUM:ind" , "who" , "play" , "the" , "who play" , "play the" , "who the" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "square" , "how many" , "many square" , "how square" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "comedian" , "have" , "what comedian" , "comedian have" , "what have" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:date" , "box" , "day" , "be" , "box day" , "day be" , "box be" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "make" , "who be" , "be make" , "who make" 
"LOC:other" , "where" , "be" , "richard" , "where be" , "be richard" , "where richard" 
"NUM:ord" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"NUM:perc" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "name" , "of" , "scholar" , "name of" , "of scholar" , "name scholar" 
"NUM:date" , "when" , "do" , "israel" , "when do" , "do israel" , "when israel" 
"HUM:ind" , "name" , "the" , "on" , "name the" , "the on" , "name on" 
"NUM:count" , "how" , "much" , "energy" , "how much" , "much energy" , "how energy" 
"HUM:ind" , "who" , "be" , "know" , "who be" , "be know" , "who know" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:country" , "what" , "country" , "and" , "what country" , "country and" , "what and" 
"LOC:other" , "what" , "building" , "appropriately" , "what building" , "building appropriately" , "what appropriately" 
"HUM:ind" , "what" , "baseball" , "team" , "what baseball" , "baseball team" , "what team" 
"HUM:ind" , "who" , "be" , "with" , "who be" , "be with" , "who with" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "rider" , "where be" , "be rider" , "where rider" 
"HUM:ind" , "what" , "boxer" , "life" , "what boxer" , "boxer life" , "what life" 
"HUM:ind" , "who" , "advise" , "listener" , "who advise" , "advise listener" , "who listener" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "horse" , "how many" , "many horse" , "how horse" 
"NUM:count" , "how" , "much" , "waste" , "how much" , "much waste" , "how waste" 
"HUM:ind" , "what" , "nobel" , "laureate" , "what nobel" , "nobel laureate" , "what laureate" 
"HUM:ind" , "what" , "woman" , "have" , "what woman" , "woman have" , "what have" 
"NUM:count" , "how" , "many" , "minute" , "how many" , "many minute" , "how minute" 
"NUM:period" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "be" , "website" , "what be" , "be website" , "what website" 
"LOC:other" , "where" , "be" , "of" , "where be" , "be of" , "where of" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "astronaut" , "how many" , "many astronaut" , "how astronaut" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "which" , "bourbon" , "king" , "which bourbon" , "bourbon king" , "which king" 
"LOC:city" , "what" , "be" , "one" , "what be" , "be one" , "what one" 
"HUM:ind" , "what" , "daughter" , "of" , "what daughter" , "daughter of" , "what of" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "comedienne" , "upstaged" , "what comedienne" , "comedienne upstaged" , "what upstaged" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"LOC:other" , "where" , "be" , "hearst" , "where be" , "be hearst" , "where hearst" 
"LOC:city" , "what" , "the" , "large" , "what the" , "the large" , "what large" 
"HUM:ind" , "who" , "sing" , "about" , "who sing" , "sing about" , "who about" 
"HUM:ind" , "what" , "costume" , "designer" , "what costume" , "costume designer" , "what designer" 
"NUM:count" , "how" , "many" , "row" , "how many" , "many row" , "how row" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "sea" , "separate" , "what sea" , "sea separate" , "what separate" 
"NUM:count" , "how" , "many" , "lawyer" , "how many" , "many lawyer" , "how lawyer" 
"HUM:ind" , "name" , "the" , "blind" , "name the" , "the blind" , "name blind" 
"HUM:ind" , "what" , "national" , "basketball" , "what national" , "national basketball" , "what basketball" 
"NUM:date" , "when" , "do" , "fraze" , "when do" , "do fraze" , "when fraze" 
"NUM:count" , "how" , "many" , "game" , "how many" , "many game" , "how game" 
"HUM:ind" , "who" , "develop" , "the" , "who develop" , "develop the" , "who the" 
"HUM:ind" , "who" , "make" , "the" , "who make" , "make the" , "who the" 
"LOC:country" , "what" , "country" , "claim" , "what country" , "country claim" , "what claim" 
"NUM:count" , "how" , "many" , "question" , "how many" , "many question" , "how question" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "character" , "do" , "what character" , "character do" , "what do" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "what" , "asian" , "spiritual" , "what asian" , "asian spiritual" , "what spiritual" 
"LOC:other" , "where" , "be" , "ocho" , "where be" , "be ocho" , "where ocho" 
"LOC:other" , "what" , "ocean" , "do" , "what ocean" , "ocean do" , "what do" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"LOC:city" , "tell" , "me" , "what" , "tell me" , "me what" , "tell what" 
"LOC:other" , "what" , "be" , "bill" , "what be" , "be bill" , "what bill" 
"HUM:ind" , "what" , "english" , "queen" , "what english" , "english queen" , "what queen" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:money" , "how" , "much" , "do" , "how much" , "much do" , "how do" 
"HUM:ind" , "what" , "two" , "baseball" , "what two" , "two baseball" , "what baseball" 
"NUM:perc" , "of" , "child" , "between" , "of child" , "child between" , "of between" 
"LOC:state" , "what" , "the" , "northernmost" , "what the" , "the northernmost" , "what northernmost" 
"LOC:other" , "name" , "an" , "art" , "name an" , "an art" , "name art" 
"HUM:ind" , "who" , "sell" , "viagra" , "who sell" , "sell viagra" , "who viagra" 
"LOC:other" , "what" , "building" , "be" , "what building" , "building be" , "what be" 
"HUM:ind" , "who" , "do" , "dita" , "who do" , "do dita" , "who dita" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"HUM:ind" , "who" , "serve" , "a" , "who serve" , "serve a" , "who a" 
"NUM:code" , "what" , "be" , "columbia" , "what be" , "be columbia" , "what columbia" 
"HUM:ind" , "which" , "one" , "of" , "which one" , "one of" , "which of" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "continent" , "be" , "what continent" , "continent be" , "what be" 
"HUM:ind" , "who" , "kill" , "more" , "who kill" , "kill more" , "who more" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "mustachioed" , "comedian" , "what mustachioed" , "mustachioed comedian" , "what comedian" 
"NUM:money" , "what" , "do" , "each" , "what do" , "do each" , "what each" 
"HUM:ind" , "what" , "actor" , "and" , "what actor" , "actor and" , "what and" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "who" , "portray" , "dracula" , "who portray" , "portray dracula" , "who dracula" 
"NUM:date" , "when" , "be" , "fish" , "when be" , "be fish" , "when fish" 
"HUM:ind" , "what" , "president" , "favorite" , "what president" , "president favorite" , "what favorite" 
"NUM:count" , "how" , "many" , "elevator" , "how many" , "many elevator" , "how elevator" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"NUM:money" , "what" , "can" , "you" , "what can" , "can you" , "what you" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"NUM:count" , "how" , "much" , "will" , "how much" , "much will" , "how will" 
"HUM:ind" , "what" , "mystery" , "writer" , "what mystery" , "mystery writer" , "what writer" 
"LOC:state" , "what" , "state" , "full" , "what state" , "state full" , "what full" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "sinn" , "where be" , "be sinn" , "where sinn" 
"NUM:date" , "the" , "iraqi" , "launch" , "the iraqi" , "iraqi launch" , "the launch" 
"LOC:country" , "what" , "country" , "northernmost" , "what country" , "country northernmost" , "what northernmost" 
"LOC:other" , "what" , "sound" , "do" , "what sound" , "sound do" , "what do" 
"LOC:city" , "what" , "kentucky" , "city" , "what kentucky" , "kentucky city" , "what city" 
"NUM:count" , "how" , "many" , "be" , "how many" , "many be" , "how be" 
"LOC:country" , "what" , "european" , "country" , "what european" , "european country" , "what country" 
"LOC:state" , "what" , "state" , "be" , "what state" , "state be" , "what be" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "presidential" , "press" , "what presidential" , "presidential press" , "what press" 
"HUM:ind" , "which" , "of" , "these" , "which of" , "of these" , "which these" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:date" , "when" , "be" , "president" , "when be" , "be president" , "when president" 
"HUM:ind" , "whose" , "cupboard" , "be" , "whose cupboard" , "cupboard be" , "whose be" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "the" , "name" , "what the" , "the name" , "what name" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"HUM:ind" , "what" , "fictional" , "character" , "what fictional" , "fictional character" , "what character" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "do" , "shakespeare" , "who do" , "do shakespeare" , "who shakespeare" 
"LOC:country" , "which" , "country" , "be" , "which country" , "country be" , "which be" 
"NUM:count" , "how" , "many" , "time" , "how many" , "many time" , "how time" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "two" , "commander" , "what two" , "two commander" , "what commander" 
"HUM:ind" , "name" , "the" , "creator" , "name the" , "the creator" , "name creator" 
"HUM:ind" , "who" , "reply" , "i" , "who reply" , "reply i" , "who i" 
"LOC:other" , "what" , "the" , "home" , "what the" , "the home" , "what home" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "win" , "the" , "who win" , "win the" , "who the" 
"HUM:ind" , "name" , "the" , "first" , "name the" , "the first" , "name first" 
"HUM:ind" , "what" , "be" , "football" , "what be" , "be football" , "what football" 
"HUM:ind" , "what" , "singer" , "sing" , "what singer" , "singer sing" , "what sing" 
"NUM:count" , "how" , "much" , "pizza" , "how much" , "much pizza" , "how pizza" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"LOC:state" , "what" , "state" , "home" , "what state" , "state home" , "what home" 
"NUM:speed" , "how" , "fast" , "do" , "how fast" , "fast do" , "how do" 
"NUM:speed" , "how" , "fast" , "be" , "how fast" , "fast be" , "how be" 
"HUM:ind" , "what" , "count" , "do" , "what count" , "count do" , "what do" 
"NUM:perc" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:dist" , "how" , "far" , "be" , "how far" , "far be" , "how be" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"LOC:city" , "which" , "city" , "in" , "which city" , "city in" , "which in" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "luke" , "who be" , "be luke" , "who luke" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "when" , "will" , "the" , "when will" , "will the" , "when the" 
"HUM:ind" , "who" , "create" , "the" , "who create" , "create the" , "who the" 
"HUM:ind" , "which" , "vietnamese" , "terrorist" , "which vietnamese" , "vietnamese terrorist" , "which terrorist" 
"LOC:other" , "what" , "do" , "we" , "what do" , "do we" , "what we" 
"LOC:country" , "what" , "country" , "capital" , "what country" , "country capital" , "what capital" 
"LOC:other" , "where" , "do" , "ray" , "where do" , "do ray" , "where ray" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "establish" , "a" , "who establish" , "establish a" , "who a" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "where" , "do" , "honecker" , "where do" , "do honecker" , "where honecker" 
"NUM:period" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "member" , "how many" , "many member" , "how member" 
"HUM:ind" , "who" , "shoot" , "and" , "who shoot" , "shoot and" , "who and" 
"HUM:ind" , "what" , "future" , "president" , "what future" , "future president" , "what president" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:dist" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "when" , "be" , "cnn" , "when be" , "be cnn" , "when cnn" 
"LOC:country" , "what" , "african" , "country" , "what african" , "african country" , "what country" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "hear" , "artist" , "what hear" , "hear artist" , "what artist" 
"HUM:ind" , "who" , "write" , "son" , "who write" , "write son" , "who son" 
"LOC:city" , "what" , "french" , "seaport" , "what french" , "french seaport" , "what seaport" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"NUM:count" , "how" , "many" , "millisecond" , "how many" , "many millisecond" , "how millisecond" 
"HUM:ind" , "what" , "cherokee" , "indian" , "what cherokee" , "cherokee indian" , "what indian" 
"NUM:date" , "when" , "be" , "camcorder" , "when be" , "be camcorder" , "when camcorder" 
"NUM:perc" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "what" , "country" , "have" , "what country" , "country have" , "what have" 
"HUM:ind" , "what" , "be" , "william" , "what be" , "be william" , "what william" 
"HUM:ind" , "who" , "do" , "richard" , "who do" , "do richard" , "who richard" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "state" , "how many" , "many state" , "how state" 
"NUM:count" , "how" , "many" , "shilling" , "how many" , "many shilling" , "how shilling" 
"HUM:ind" , "who" , "take" , "over" , "who take" , "take over" , "who over" 
"HUM:ind" , "what" , "nazi" , "leader" , "what nazi" , "nazi leader" , "what leader" 
"NUM:other" , "what" , "brand" , "number" , "what brand" , "brand number" , "what number" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "betray" , "norway" , "who betray" , "betray norway" , "who norway" 
"HUM:ind" , "who" , "take" , "the" , "who take" , "take the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "station" , "who be" , "be station" , "who station" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:dist" , "how" , "tall" , "be" , "how tall" , "tall be" , "how be" 
"HUM:ind" , "what" , "actor" , "dress" , "what actor" , "actor dress" , "what dress" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"NUM:count" , "how" , "much" , "of" , "how much" , "much of" , "how of" 
"LOC:other" , "what" , "lake" , "be" , "what lake" , "lake be" , "what be" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "claim" , "to" , "who claim" , "claim to" , "who to" 
"HUM:ind" , "what" , "honeymooners" , "actress" , "what honeymooners" , "honeymooners actress" , "what actress" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "silly" , "putty" , "be" , "silly putty" , "putty be" , "silly be" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"HUM:ind" , "whom" , "do" , "lauren" , "whom do" , "do lauren" , "whom lauren" 
"NUM:count" , "how" , "many" , "time" , "how many" , "many time" , "how time" 
"LOC:city" , "what" , "city" , "or" , "what city" , "city or" , "what or" 
"NUM:period" , "shea" , "and" , "gould" , "shea and" , "and gould" , "shea gould" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"HUM:ind" , "what" , "composer" , "be" , "what composer" , "composer be" , "what be" 
"NUM:count" , "how" , "many" , "url" , "how many" , "many url" , "how url" 
"NUM:period" , "how" , "long" , "after" , "how long" , "long after" , "how after" 
"HUM:ind" , "who" , "create" , "the" , "who create" , "create the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "where" , "be" , "all" , "where be" , "be all" , "where all" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "department" , "store" , "what department" , "department store" , "what store" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"LOC:state" , "what" , "state" , "end" , "what state" , "state end" , "what end" 
"NUM:count" , "how" , "many" , "variety" , "how many" , "many variety" , "how variety" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "be" , "camp" , "who be" , "be camp" , "who camp" 
"HUM:ind" , "who" , "portray" , "the" , "who portray" , "portray the" , "who the" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"LOC:country" , "what" , "country" , "boast" , "what country" , "country boast" , "what boast" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "metropolis" , "landmark" , "what metropolis" , "metropolis landmark" , "what landmark" 
"LOC:other" , "where" , "can" , "one" , "where can" , "can one" , "where one" 
"LOC:city" , "in" , "what" , "city" , "in what" , "what city" , "in city" 
"HUM:ind" , "who" , "win" , "the" , "who win" , "win the" , "who the" 
"HUM:ind" , "who" , "be" , "credit" , "who be" , "be credit" , "who credit" 
"LOC:country" , "what" , "nationality" , "be" , "what nationality" , "nationality be" , "what be" 
"NUM:count" , "how" , "much" , "of" , "how much" , "much of" , "how of" 
"NUM:date" , "when" , "be" , "queen" , "when be" , "be queen" , "when queen" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"LOC:other" , "what" , "be" , "worth" , "what be" , "be worth" , "what worth" 
"NUM:date" , "when" , "be" , "yemen" , "when be" , "be yemen" , "when yemen" 
"HUM:ind" , "what" , "mexican" , "leader" , "what mexican" , "mexican leader" , "what leader" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "santa" , "where be" , "be santa" , "where santa" 
"HUM:ind" , "what" , "female" , "painter" , "what female" , "female painter" , "what painter" 
"HUM:ind" , "what" , "be" , "name" , "what be" , "be name" , "what name" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "what" , "year" , "do" , "what year" , "year do" , "what do" 
"HUM:ind" , "who" , "create" , "big" , "who create" , "create big" , "who big" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"LOC:state" , "what" , "populous" , "state" , "what populous" , "populous state" , "what state" 
"LOC:state" , "in" , "what" , "state" , "in what" , "what state" , "in state" 
"NUM:date" , "when" , "do" , "aldous" , "when do" , "do aldous" , "when aldous" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"NUM:period" , "how" , "long" , "be" , "how long" , "long be" , "how be" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "what" , "actress" , "be" , "what actress" , "actress be" , "what be" 
"HUM:ind" , "who" , "play" , "the" , "who play" , "play the" , "who the" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"NUM:date" , "when" , "do" , "human" , "when do" , "do human" , "when human" 
"LOC:city" , "what" , "city" , "in" , "what city" , "city in" , "what in" 
"LOC:other" , "what" , "tokyo" , "street" , "what tokyo" , "tokyo street" , "what street" 
"NUM:period" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "when" , "mighty" , "mouse" , "when mighty" , "mighty mouse" , "when mouse" 
"NUM:count" , "how" , "many" , "president" , "how many" , "many president" , "how president" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "what" , "be" , "nathan" , "what be" , "be nathan" , "what nathan" 
"NUM:count" , "how" , "many" , "disk" , "how many" , "many disk" , "how disk" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"HUM:ind" , "what" , "new" , "york" , "what new" , "new york" , "what york" 
"HUM:ind" , "who" , "be" , "consider" , "who be" , "be consider" , "who consider" 
"HUM:ind" , "who" , "pen" , "neither" , "who pen" , "pen neither" , "who neither" 
"HUM:ind" , "who" , "head" , "hitler" , "who head" , "head hitler" , "who hitler" 
"LOC:city" , "what" , "south" , "american" , "what south" , "south american" , "what american" 
"LOC:city" , "what" , "german" , "city" , "what german" , "german city" , "what city" 
"LOC:other" , "what" , "island" , "group" , "what island" , "island group" , "what group" 
"HUM:ind" , "what" , "be" , "a" , "what be" , "be a" , "what a" 
"LOC:other" , "where" , "be" , "helium" , "where be" , "be helium" , "where helium" 
"HUM:ind" , "who" , "make" , "the" , "who make" , "make the" , "who the" 
"HUM:ind" , "what" , "french" , "designer" , "what french" , "french designer" , "what designer" 
"NUM:date" , "what" , "season" , "be" , "what season" , "season be" , "what be" 
"HUM:ind" , "what" , "comedian" , "be" , "what comedian" , "comedian be" , "what be" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"HUM:ind" , "what" , "apollo" , "astronaut" , "what apollo" , "apollo astronaut" , "what astronaut" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:mount" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "good" , "little" , "what good" , "good little" , "what little" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "what" , "month" , "date" , "what month" , "month date" , "what date" 
"NUM:count" , "how" , "many" , "cubic" , "how many" , "many cubic" , "how cubic" 
"LOC:other" , "what" , "the" , "world" , "what the" , "the world" , "what world" 
"LOC:country" , "what" , "three" , "european" , "what three" , "three european" , "what european" 
"NUM:count" , "how" , "many" , "earthworm" , "how many" , "many earthworm" , "how earthworm" 
"HUM:ind" , "who" , "make" , "stonehenge" , "who make" , "make stonehenge" , "who stonehenge" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "the" , "founder" , "who the" , "the founder" , "who founder" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "what" , "the" , "world" , "what the" , "the world" , "what world" 
"LOC:city" , "what" , "asian" , "city" , "what asian" , "asian city" , "what city" 
"NUM:date" , "when" , "will" , "jean" , "when will" , "will jean" , "when jean" 
"HUM:ind" , "what" , "famous" , "soldier" , "what famous" , "famous soldier" , "what soldier" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "constellation" , "contain" , "what constellation" , "constellation contain" , "what contain" 
"NUM:count" , "how" , "many" , "meter" , "how many" , "many meter" , "how meter" 
"LOC:other" , "what" , "famed" , "london" , "what famed" , "famed london" , "what london" 
"NUM:count" , "how" , "many" , "milligram" , "how many" , "many milligram" , "how milligram" 
"LOC:other" , "where" , "do" , "he" , "where do" , "do he" , "where he" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "be" , "michael" , "what be" , "be michael" , "what michael" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:period" , "how" , "long" , "be" , "how long" , "long be" , "how be" 
"LOC:other" , "where" , "do" , "mother" , "where do" , "do mother" , "where mother" 
"NUM:other" , "what" , "the" , "population" , "what the" , "the population" , "what population" 
"HUM:ind" , "who" , "start" , "the" , "who start" , "start the" , "who the" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"HUM:ind" , "which" , "nba" , "player" , "which nba" , "nba player" , "which player" 
"NUM:count" , "how" , "many" , "colored" , "how many" , "many colored" , "how colored" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "what" , "caribbean" , "island" , "what caribbean" , "caribbean island" , "what island" 
"LOC:other" , "where" , "be" , "amsterdam" , "where be" , "be amsterdam" , "where amsterdam" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:city" , "what" , "australian" , "city" , "what australian" , "australian city" , "what city" 
"HUM:ind" , "name" , "randy" , "craft" , "name randy" , "randy craft" , "name craft" 
"LOC:other" , "what" , "river" , "do" , "what river" , "river do" , "what do" 
"NUM:other" , "how" , "often" , "be" , "how often" , "often be" , "how be" 
"NUM:count" , "how" , "many" , "president" , "how many" , "many president" , "how president" 
