@relation answerExp7
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"HUM:ind" , "name" , "the" , "on" , "name the" , "the on" , "name on" 
"NUM:count" , "how" , "much" , "energy" , "how much" , "much energy" , "how energy" 
"HUM:ind" , "who" , "is" , "known" , "who is" , "is known" , "who known" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:country" , "what" , "country" , "and" , "what country" , "country and" , "what and" 
"LOC:other" , "what" , "building" , "appropriately" , "what building" , "building appropriately" , "what appropriately" 
"HUM:ind" , "what" , "baseball" , "team" , "what baseball" , "baseball team" , "what team" 
"HUM:ind" , "who" , "was" , "with" , "who was" , "was with" , "who with" 
"HUM:ind" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "is" , "rider" , "where is" , "is rider" , "where rider" 
"HUM:ind" , "what" , "boxer" , "life" , "what boxer" , "boxer life" , "what life" 
"HUM:ind" , "who" , "advised" , "listeners" , "who advised" , "advised listeners" , "who listeners" 
"LOC:other" , "where" , "was" , "the" , "where was" , "was the" , "where the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "horses" , "how many" , "many horses" , "how horses" 
"NUM:count" , "how" , "much" , "waste" , "how much" , "much waste" , "how waste" 
"HUM:ind" , "what" , "nobel" , "laureate" , "what nobel" , "nobel laureate" , "what laureate" 
"HUM:ind" , "what" , "woman" , "has" , "what woman" , "woman has" , "what has" 
"NUM:count" , "how" , "many" , "minutes" , "how many" , "many minutes" , "how minutes" 
"NUM:period" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "what" , "is" , "website" , "what is" , "is website" , "what website" 
"LOC:other" , "where" , "are" , "of" , "where are" , "are of" , "where of" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"NUM:count" , "how" , "many" , "astronauts" , "how many" , "many astronauts" , "how astronauts" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "which" , "bourbon" , "king" , "which bourbon" , "bourbon king" , "which king" 
"LOC:city" , "what" , "is" , "one" , "what is" , "is one" , "what one" 
"HUM:ind" , "what" , "daughter" , "of" , "what daughter" , "daughter of" , "what of" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:mount" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "comedienne" , "upstaged" , "what comedienne" , "comedienne upstaged" , "what upstaged" 
"NUM:date" , "when" , "were" , "the" , "when were" , "were the" , "when the" 
"LOC:other" , "where" , "is" , "hearst" , "where is" , "is hearst" , "where hearst" 
"LOC:city" , "what" , "the" , "largest" , "what the" , "the largest" , "what largest" 
"HUM:ind" , "who" , "sang" , "about" , "who sang" , "sang about" , "who about" 
"HUM:ind" , "what" , "costume" , "designer" , "what costume" , "costume designer" , "what designer" 
"NUM:count" , "how" , "many" , "rows" , "how many" , "many rows" , "how rows" 
"NUM:count" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "what" , "sea" , "separates" , "what sea" , "sea separates" , "what separates" 
"NUM:count" , "how" , "many" , "lawyers" , "how many" , "many lawyers" , "how lawyers" 
"HUM:ind" , "name" , "the" , "blind" , "name the" , "the blind" , "name blind" 
"HUM:ind" , "what" , "national" , "basketball" , "what national" , "national basketball" , "what basketball" 
"NUM:date" , "when" , "did" , "fraze" , "when did" , "did fraze" , "when fraze" 
"NUM:count" , "how" , "many" , "games" , "how many" , "many games" , "how games" 
"HUM:ind" , "who" , "developed" , "the" , "who developed" , "developed the" , "who the" 
"HUM:ind" , "who" , "made" , "the" , "who made" , "made the" , "who the" 
"LOC:country" , "what" , "country" , "claimed" , "what country" , "country claimed" , "what claimed" 
"NUM:count" , "how" , "many" , "questions" , "how many" , "many questions" , "how questions" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "character" , "did" , "what character" , "character did" , "what did" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"HUM:ind" , "what" , "asian" , "spiritual" , "what asian" , "asian spiritual" , "what spiritual" 
"LOC:other" , "where" , "is" , "ocho" , "where is" , "is ocho" , "where ocho" 
"LOC:other" , "what" , "ocean" , "does" , "what ocean" , "ocean does" , "what does" 
"LOC:country" , "what" , "country" , "is" , "what country" , "country is" , "what is" 
"LOC:city" , "tell" , "me" , "what" , "tell me" , "me what" , "tell what" 
"LOC:other" , "what" , "is" , "bill" , "what is" , "is bill" , "what bill" 
"HUM:ind" , "what" , "english" , "queen" , "what english" , "english queen" , "what queen" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:money" , "how" , "much" , "does" , "how much" , "much does" , "how does" 
"HUM:ind" , "what" , "two" , "baseball" , "what two" , "two baseball" , "what baseball" 
"NUM:perc" , "of" , "children" , "between" , "of children" , "children between" , "of between" 
"LOC:state" , "what" , "the" , "northernmost" , "what the" , "the northernmost" , "what northernmost" 
"LOC:other" , "name" , "an" , "art" , "name an" , "an art" , "name art" 
"HUM:ind" , "who" , "sells" , "viagra" , "who sells" , "sells viagra" , "who viagra" 
"LOC:other" , "what" , "building" , "are" , "what building" , "building are" , "what are" 
"HUM:ind" , "who" , "did" , "dita" , "who did" , "did dita" , "who dita" 
"LOC:country" , "what" , "country" , "was" , "what country" , "country was" , "what was" 
"HUM:ind" , "who" , "served" , "as" , "who served" , "served as" , "who as" 
"NUM:code" , "what" , "is" , "columbia" , "what is" , "is columbia" , "what columbia" 
"HUM:ind" , "which" , "one" , "of" , "which one" , "one of" , "which of" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:city" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "what" , "continent" , "is" , "what continent" , "continent is" , "what is" 
"HUM:ind" , "who" , "killed" , "more" , "who killed" , "killed more" , "who more" 
"LOC:state" , "what" , "state" , "has" , "what state" , "state has" , "what has" 
"NUM:count" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "what" , "mustachioed" , "comedian" , "what mustachioed" , "mustachioed comedian" , "what comedian" 
"NUM:money" , "what" , "does" , "each" , "what does" , "does each" , "what each" 
"HUM:ind" , "what" , "actor" , "and" , "what actor" , "actor and" , "what and" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"HUM:ind" , "who" , "portrayed" , "dracula" , "who portrayed" , "portrayed dracula" , "who dracula" 
"NUM:date" , "when" , "were" , "fish" , "when were" , "were fish" , "when fish" 
"HUM:ind" , "what" , "president" , "favorite" , "what president" , "president favorite" , "what favorite" 
"NUM:count" , "how" , "many" , "elevators" , "how many" , "many elevators" , "how elevators" 
"LOC:country" , "what" , "country" , "was" , "what country" , "country was" , "what was" 
"LOC:city" , "what" , "city" , "was" , "what city" , "city was" , "what was" 
"NUM:period" , "how" , "long" , "does" , "how long" , "long does" , "how does" 
"NUM:money" , "what" , "can" , "you" , "what can" , "can you" , "what you" 
"LOC:other" , "where" , "did" , "the" , "where did" , "did the" , "where the" 
"NUM:count" , "how" , "much" , "will" , "how much" , "much will" , "how will" 
"HUM:ind" , "what" , "mystery" , "writer" , "what mystery" , "mystery writer" , "what writer" 
"LOC:state" , "what" , "state" , "full" , "what state" , "state full" , "what full" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "is" , "sinn" , "where is" , "is sinn" , "where sinn" 
"NUM:date" , "the" , "iraqis" , "launched" , "the iraqis" , "iraqis launched" , "the launched" 
"LOC:country" , "what" , "country" , "northernmost" , "what country" , "country northernmost" , "what northernmost" 
"LOC:other" , "what" , "sound" , "does" , "what sound" , "sound does" , "what does" 
"LOC:city" , "what" , "kentucky" , "city" , "what kentucky" , "kentucky city" , "what city" 
"NUM:count" , "how" , "many" , "are" , "how many" , "many are" , "how are" 
"LOC:country" , "what" , "european" , "country" , "what european" , "european country" , "what country" 
"LOC:state" , "what" , "state" , "is" , "what state" , "state is" , "what is" 
"LOC:other" , "where" , "was" , "the" , "where was" , "was the" , "where the" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "presidential" , "press" , "what presidential" , "presidential press" , "what press" 
"HUM:ind" , "which" , "of" , "these" , "which of" , "of these" , "which these" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"NUM:date" , "when" , "is" , "president" , "when is" , "is president" , "when president" 
"HUM:ind" , "whose" , "cupboard" , "was" , "whose cupboard" , "cupboard was" , "whose was" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"HUM:ind" , "what" , "the" , "name" , "what the" , "the name" , "what name" 
"HUM:ind" , "who" , "invented" , "the" , "who invented" , "invented the" , "who the" 
"HUM:ind" , "what" , "fictional" , "character" , "what fictional" , "fictional character" , "what character" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "does" , "shakespeare" , "who does" , "does shakespeare" , "who shakespeare" 
"LOC:country" , "which" , "country" , "is" , "which country" , "country is" , "which is" 
"NUM:count" , "how" , "many" , "times" , "how many" , "many times" , "how times" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "what" , "two" , "commanders" , "what two" , "two commanders" , "what commanders" 
"HUM:ind" , "name" , "the" , "creator" , "name the" , "the creator" , "name creator" 
"HUM:ind" , "who" , "replies" , "i" , "who replies" , "replies i" , "who i" 
"LOC:other" , "what" , "the" , "home" , "what the" , "the home" , "what home" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "won" , "the" , "who won" , "won the" , "who the" 
"HUM:ind" , "name" , "the" , "first" , "name the" , "the first" , "name first" 
"HUM:ind" , "what" , "was" , "football" , "what was" , "was football" , "what football" 
"HUM:ind" , "what" , "singer" , "sings" , "what singer" , "singer sings" , "what sings" 
"NUM:count" , "how" , "much" , "pizza" , "how much" , "much pizza" , "how pizza" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:state" , "what" , "state" , "has" , "what state" , "state has" , "what has" 
"LOC:state" , "what" , "state" , "home" , "what state" , "state home" , "what home" 
"NUM:speed" , "how" , "fast" , "do" , "how fast" , "fast do" , "how do" 
"NUM:speed" , "how" , "fast" , "is" , "how fast" , "fast is" , "how is" 
"HUM:ind" , "what" , "count" , "did" , "what count" , "count did" , "what did" 
"NUM:perc" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:dist" , "how" , "far" , "is" , "how far" , "far is" , "how is" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"LOC:other" , "where" , "does" , "the" , "where does" , "does the" , "where the" 
"LOC:city" , "which" , "city" , "in" , "which city" , "city in" , "which in" 
"NUM:period" , "how" , "old" , "is" , "how old" , "old is" , "how is" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "is" , "luke" , "who is" , "is luke" , "who luke" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"NUM:other" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"NUM:date" , "when" , "will" , "the" , "when will" , "will the" , "when the" 
"HUM:ind" , "who" , "created" , "the" , "who created" , "created the" , "who the" 
"HUM:ind" , "which" , "vietnamese" , "terrorist" , "which vietnamese" , "vietnamese terrorist" , "which terrorist" 
"LOC:other" , "what" , "do" , "we" , "what do" , "do we" , "what we" 
"LOC:country" , "what" , "country" , "capital" , "what country" , "country capital" , "what capital" 
"LOC:other" , "where" , "does" , "ray" , "where does" , "does ray" , "where ray" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "who" , "established" , "a" , "who established" , "established a" , "who a" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:other" , "where" , "did" , "honecker" , "where did" , "did honecker" , "where honecker" 
"NUM:period" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:count" , "how" , "many" , "member" , "how many" , "many member" , "how member" 
"HUM:ind" , "who" , "shot" , "and" , "who shot" , "shot and" , "who and" 
"HUM:ind" , "what" , "future" , "president" , "what future" , "future president" , "what president" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:dist" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"NUM:date" , "when" , "was" , "cnn" , "when was" , "was cnn" , "when cnn" 
"LOC:country" , "what" , "african" , "country" , "what african" , "african country" , "what country" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "what" , "hearing" , "artist" , "what hearing" , "hearing artist" , "what artist" 
"HUM:ind" , "who" , "wrote" , "sons" , "who wrote" , "wrote sons" , "who sons" 
"LOC:city" , "what" , "french" , "seaport" , "what french" , "french seaport" , "what seaport" 
"NUM:period" , "how" , "long" , "does" , "how long" , "long does" , "how does" 
"NUM:count" , "how" , "many" , "milliseconds" , "how many" , "many milliseconds" , "how milliseconds" 
"HUM:ind" , "what" , "cherokee" , "indian" , "what cherokee" , "cherokee indian" , "what indian" 
"NUM:date" , "when" , "were" , "camcorders" , "when were" , "were camcorders" , "when camcorders" 
"NUM:perc" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:country" , "what" , "countries" , "have" , "what countries" , "countries have" , "what have" 
"HUM:ind" , "what" , "was" , "william" , "what was" , "was william" , "what william" 
"HUM:ind" , "who" , "did" , "richard" , "who did" , "did richard" , "who richard" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"NUM:money" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:count" , "how" , "many" , "states" , "how many" , "many states" , "how states" 
"NUM:count" , "how" , "many" , "shillings" , "how many" , "many shillings" , "how shillings" 
"HUM:ind" , "who" , "took" , "over" , "who took" , "took over" , "who over" 
"HUM:ind" , "what" , "nazi" , "leader" , "what nazi" , "nazi leader" , "what leader" 
"NUM:other" , "what" , "brand" , "number" , "what brand" , "brand number" , "what number" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "betrayed" , "norway" , "who betrayed" , "betrayed norway" , "who norway" 
"HUM:ind" , "who" , "took" , "the" , "who took" , "took the" , "who the" 
"HUM:ind" , "who" , "were" , "the" , "who were" , "were the" , "who the" 
"HUM:ind" , "who" , "is" , "stationed" , "who is" , "is stationed" , "who stationed" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:dist" , "how" , "tall" , "is" , "how tall" , "tall is" , "how is" 
"HUM:ind" , "what" , "actor" , "dressed" , "what actor" , "actor dressed" , "what dressed" 
"NUM:period" , "how" , "long" , "did" , "how long" , "long did" , "how did" 
"NUM:count" , "how" , "much" , "of" , "how much" , "much of" , "how of" 
"LOC:other" , "what" , "lake" , "is" , "what lake" , "lake is" , "what is" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "wrote" , "the" , "who wrote" , "wrote the" , "who the" 
"HUM:ind" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "claims" , "to" , "who claims" , "claims to" , "who to" 
"HUM:ind" , "what" , "honeymooners" , "actress" , "what honeymooners" , "honeymooners actress" , "what actress" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "silly" , "putty" , "was" , "silly putty" , "putty was" , "silly was" 
"HUM:ind" , "who" , "invented" , "the" , "who invented" , "invented the" , "who the" 
"HUM:ind" , "whom" , "did" , "lauren" , "whom did" , "did lauren" , "whom lauren" 
"NUM:count" , "how" , "many" , "times" , "how many" , "many times" , "how times" 
"LOC:city" , "what" , "city" , "or" , "what city" , "city or" , "what or" 
"NUM:period" , "shea" , "and" , "gould" , "shea and" , "and gould" , "shea gould" 
"NUM:date" , "what" , "year" , "did" , "what year" , "year did" , "what did" 
"HUM:ind" , "what" , "composer" , "was" , "what composer" , "composer was" , "what was" 
"NUM:count" , "how" , "many" , "url" , "how many" , "many url" , "how url" 
"NUM:period" , "how" , "long" , "after" , "how long" , "long after" , "how after" 
"HUM:ind" , "who" , "created" , "the" , "who created" , "created the" , "who the" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:other" , "where" , "are" , "all" , "where are" , "are all" , "where all" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "what" , "department" , "store" , "what department" , "department store" , "what store" 
"LOC:city" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"LOC:state" , "what" , "state" , "has" , "what state" , "state has" , "what has" 
"LOC:state" , "what" , "state" , "ends" , "what state" , "state ends" , "what ends" 
"NUM:count" , "how" , "many" , "varieties" , "how many" , "many varieties" , "how varieties" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "was" , "camp" , "who was" , "was camp" , "who camp" 
"HUM:ind" , "who" , "portrayed" , "the" , "who portrayed" , "portrayed the" , "who the" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"LOC:country" , "what" , "country" , "boasts" , "what country" , "country boasts" , "what boasts" 
"NUM:money" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:other" , "what" , "metropolis" , "landmark" , "what metropolis" , "metropolis landmark" , "what landmark" 
"LOC:other" , "where" , "can" , "one" , "where can" , "can one" , "where one" 
"LOC:city" , "in" , "what" , "city" , "in what" , "what city" , "in city" 
"HUM:ind" , "who" , "won" , "the" , "who won" , "won the" , "who the" 
"HUM:ind" , "who" , "was" , "credited" , "who was" , "was credited" , "who credited" 
"LOC:country" , "what" , "nationality" , "was" , "what nationality" , "nationality was" , "what was" 
"NUM:count" , "how" , "much" , "of" , "how much" , "much of" , "how of" 
"NUM:date" , "when" , "was" , "queen" , "when was" , "was queen" , "when queen" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"LOC:other" , "what" , "is" , "worth" , "what is" , "is worth" , "what worth" 
"NUM:date" , "when" , "was" , "yemen" , "when was" , "was yemen" , "when yemen" 
"HUM:ind" , "what" , "mexican" , "leader" , "what mexican" , "mexican leader" , "what leader" 
"NUM:money" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:other" , "where" , "is" , "santa" , "where is" , "is santa" , "where santa" 
"HUM:ind" , "what" , "female" , "painter" , "what female" , "female painter" , "what painter" 
"HUM:ind" , "what" , "are" , "names" , "what are" , "are names" , "what names" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"NUM:date" , "what" , "year" , "did" , "what year" , "year did" , "what did" 
"HUM:ind" , "who" , "created" , "big" , "who created" , "created big" , "who big" 
"LOC:city" , "what" , "city" , "is" , "what city" , "city is" , "what is" 
"LOC:state" , "what" , "populous" , "state" , "what populous" , "populous state" , "what state" 
"LOC:state" , "in" , "what" , "state" , "in what" , "what state" , "in state" 
"NUM:date" , "when" , "did" , "aldous" , "when did" , "did aldous" , "when aldous" 
"LOC:country" , "what" , "country" , "did" , "what country" , "country did" , "what did" 
"NUM:period" , "how" , "long" , "was" , "how long" , "long was" , "how was" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "what" , "actress" , "was" , "what actress" , "actress was" , "what was" 
"HUM:ind" , "who" , "played" , "the" , "who played" , "played the" , "who the" 
"HUM:ind" , "who" , "invented" , "the" , "who invented" , "invented the" , "who the" 
"NUM:date" , "when" , "did" , "humans" , "when did" , "did humans" , "when humans" 
"LOC:city" , "what" , "city" , "in" , "what city" , "city in" , "what in" 
"LOC:other" , "what" , "tokyo" , "street" , "what tokyo" , "tokyo street" , "what street" 
"NUM:period" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"HUM:ind" , "when" , "mighty" , "mouse" , "when mighty" , "mighty mouse" , "when mouse" 
"NUM:count" , "how" , "many" , "presidents" , "how many" , "many presidents" , "how presidents" 
"NUM:date" , "when" , "was" , "the" , "when was" , "was the" , "when the" 
"HUM:ind" , "what" , "is" , "nathan" , "what is" , "is nathan" , "what nathan" 
"NUM:count" , "how" , "many" , "disks" , "how many" , "many disks" , "how disks" 
"NUM:period" , "how" , "old" , "is" , "how old" , "old is" , "how is" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:count" , "how" , "many" , "years" , "how many" , "many years" , "how years" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"LOC:country" , "what" , "country" , "are" , "what country" , "country are" , "what are" 
"HUM:ind" , "what" , "new" , "york" , "what new" , "new york" , "what york" 
"HUM:ind" , "who" , "is" , "considered" , "who is" , "is considered" , "who considered" 
"HUM:ind" , "who" , "penned" , "neither" , "who penned" , "penned neither" , "who neither" 
"HUM:ind" , "who" , "headed" , "hitler" , "who headed" , "headed hitler" , "who hitler" 
"LOC:city" , "what" , "south" , "american" , "what south" , "south american" , "what american" 
"LOC:city" , "what" , "german" , "city" , "what german" , "german city" , "what city" 
"LOC:other" , "what" , "island" , "group" , "what island" , "island group" , "what group" 
"HUM:ind" , "what" , "is" , "a" , "what is" , "is a" , "what a" 
"LOC:other" , "where" , "was" , "helium" , "where was" , "was helium" , "where helium" 
"HUM:ind" , "who" , "made" , "the" , "who made" , "made the" , "who the" 
"HUM:ind" , "what" , "french" , "designer" , "what french" , "french designer" , "what designer" 
"NUM:date" , "what" , "season" , "is" , "what season" , "season is" , "what is" 
"HUM:ind" , "what" , "comedian" , "was" , "what comedian" , "comedian was" , "what was" 
"LOC:country" , "what" , "country" , "is" , "what country" , "country is" , "what is" 
"HUM:ind" , "what" , "apollo" , "astronaut" , "what apollo" , "apollo astronaut" , "what astronaut" 
"NUM:money" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:mount" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "what" , "good" , "little" , "what good" , "good little" , "what little" 
"HUM:ind" , "what" , "was" , "the" , "what was" , "was the" , "what the" 
"NUM:date" , "what" , "month" , "date" , "what month" , "month date" , "what date" 
"NUM:count" , "how" , "many" , "cubic" , "how many" , "many cubic" , "how cubic" 
"LOC:other" , "what" , "the" , "world" , "what the" , "the world" , "what world" 
"LOC:country" , "what" , "three" , "european" , "what three" , "three european" , "what european" 
"NUM:count" , "how" , "many" , "earthworms" , "how many" , "many earthworms" , "how earthworms" 
"HUM:ind" , "who" , "made" , "stonehenge" , "who made" , "made stonehenge" , "who stonehenge" 
"NUM:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "who" , "the" , "founder" , "who the" , "the founder" , "who founder" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "what" , "the" , "world" , "what the" , "the world" , "what world" 
"LOC:city" , "what" , "asian" , "city" , "what asian" , "asian city" , "what city" 
"NUM:date" , "when" , "will" , "jean" , "when will" , "will jean" , "when jean" 
"HUM:ind" , "what" , "famous" , "soldier" , "what famous" , "famous soldier" , "what soldier" 
"LOC:city" , "what" , "were" , "the" , "what were" , "were the" , "what the" 
"LOC:other" , "what" , "constellation" , "contains" , "what constellation" , "constellation contains" , "what contains" 
"NUM:count" , "how" , "many" , "meters" , "how many" , "many meters" , "how meters" 
"LOC:other" , "what" , "famed" , "london" , "what famed" , "famed london" , "what london" 
"NUM:count" , "how" , "many" , "milligrams" , "how many" , "many milligrams" , "how milligrams" 
"LOC:other" , "where" , "did" , "he" , "where did" , "did he" , "where he" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "is" , "michael" , "what is" , "is michael" , "what michael" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"NUM:period" , "how" , "long" , "is" , "how long" , "long is" , "how is" 
"LOC:other" , "where" , "does" , "mother" , "where does" , "does mother" , "where mother" 
"NUM:other" , "what" , "the" , "population" , "what the" , "the population" , "what population" 
"HUM:ind" , "who" , "started" , "the" , "who started" , "started the" , "who the" 
"NUM:period" , "how" , "old" , "is" , "how old" , "old is" , "how is" 
"HUM:ind" , "which" , "nba" , "players" , "which nba" , "nba players" , "which players" 
"NUM:count" , "how" , "many" , "colored" , "how many" , "many colored" , "how colored" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"LOC:other" , "what" , "caribbean" , "island" , "what caribbean" , "caribbean island" , "what island" 
"LOC:other" , "where" , "is" , "amsterdam" , "where is" , "is amsterdam" , "where amsterdam" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"LOC:city" , "what" , "australian" , "city" , "what australian" , "australian city" , "what city" 
"HUM:ind" , "name" , "randy" , "craft" , "name randy" , "randy craft" , "name craft" 
"LOC:other" , "what" , "river" , "does" , "what river" , "river does" , "what does" 
"NUM:other" , "how" , "often" , "are" , "how often" , "often are" , "how are" 
"NUM:count" , "how" , "many" , "presidents" , "how many" , "many presidents" , "how presidents" 
"HUM:ind" , "what" , "is" , "a" , "what is" , "is a" , "what a" 
"HUM:ind" , "who" , "portrayed" , "vincent" , "who portrayed" , "portrayed vincent" , "who vincent" 
"LOC:other" , "what" , "is" , "a" , "what is" , "is a" , "what a" 
"NUM:date" , "what" , "season" , "begins" , "what season" , "season begins" , "what begins" 
"HUM:ind" , "who" , "was" , "known" , "who was" , "was known" , "who known" 
"LOC:other" , "where" , "did" , "cable" , "where did" , "did cable" , "where cable" 
"LOC:other" , "what" , "is" , "george" , "what is" , "is george" , "what george" 
"HUM:ind" , "who" , "is" , "the" , "who is" , "is the" , "who the" 
"HUM:ind" , "who" , "said" , "old" , "who said" , "said old" , "who old" 
"NUM:dist" , "how" , "long" , "were" , "how long" , "long were" , "how were" 
"HUM:ind" , "who" , "the" , "only" , "who the" , "the only" , "who only" 
"LOC:city" , "what" , "kenyan" , "city" , "what kenyan" , "kenyan city" , "what city" 
"HUM:ind" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:state" , "what" , "four" , "states" , "what four" , "four states" , "what states" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "what" , "major" , "victorian" , "what major" , "major victorian" , "what victorian" 
"NUM:date" , "what" , "year" , "were" , "what year" , "year were" , "what were" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
