@relation answerExp10
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"NUM:date" , "when" , "do" , "iraqi" , "troop" , "when do" , "do iraqi" , "when iraqi" , "when troop" , "do troop" , "iraqi troop" 
"HUM:ind" , "what" , "famous" , "sing" , "cowboy" , "what famous" , "famous sing" , "what sing" , "what cowboy" , "famous cowboy" , "sing cowboy" 
"NUM:perc" , "what" , "be" , "the" , "probability" , "what be" , "be the" , "what the" , "what probability" , "be probability" , "the probability" 
"NUM:count" , "how" , "many" , "canadian" , "emmigrate" , "how many" , "many canadian" , "how canadian" , "how emmigrate" , "many emmigrate" , "canadian emmigrate" 
"HUM:ind" , "who" , "be" , "gerald" , "ford" , "who be" , "be gerald" , "who gerald" , "who ford" , "be ford" , "gerald ford" 
"NUM:count" , "how" , "many" , "different" , "language" , "how many" , "many different" , "how different" , "how language" , "many language" , "different language" 
"NUM:date" , "what" , "year" , "be" , "desmond" , "what year" , "year be" , "what be" , "what desmond" , "year desmond" , "be desmond" 
"LOC:other" , "where" , "can" , "i" , "buy" , "where can" , "can i" , "where i" , "where buy" , "can buy" , "i buy" 
"HUM:ind" , "what" , "be" , "the" , "infamous" , "what be" , "be the" , "what the" , "what infamous" , "be infamous" , "the infamous" 
"LOC:other" , "what" , "london" , "street" , "be" , "what london" , "london street" , "what street" , "what be" , "london be" , "street be" 
"LOC:city" , "in" , "what" , "city" , "be" , "in what" , "what city" , "in city" , "in be" , "what be" , "city be" 
"NUM:money" , "how" , "much" , "do" , "the" , "how much" , "much do" , "how do" , "how the" , "much the" , "do the" 
"LOC:other" , "where" , "be" , "tufts" , "university" , "where be" , "be tufts" , "where tufts" , "where university" , "be university" , "tufts university" 
"NUM:other" , "what" , "be" , "the" , "chemical" , "what be" , "be the" , "what the" , "what chemical" , "be chemical" , "the chemical" 
"NUM:count" , "how" , "many" , "engine" , "do" , "how many" , "many engine" , "how engine" , "how do" , "many do" , "engine do" 
"NUM:dist" , "how" , "long" , "be" , "mao" , "how long" , "long be" , "how be" , "how mao" , "long mao" , "be mao" 
"NUM:weight" , "what" , "do" , "a" , "teaspoon" , "what do" , "do a" , "what a" , "what teaspoon" , "do teaspoon" , "a teaspoon" 
"LOC:state" , "what" , "province" , "be" , "edmonton" , "what province" , "province be" , "what be" , "what edmonton" , "province edmonton" , "be edmonton" 
"HUM:ind" , "who" , "do" , "sonny" , "liston" , "who do" , "do sonny" , "who sonny" , "who liston" , "do liston" , "sonny liston" 
"NUM:date" , "what" , "be" , "martin" , "luther" , "what be" , "be martin" , "what martin" , "what luther" , "be luther" , "martin luther" 
"HUM:ind" , "what" , "president" , "dispatch" , "a" , "what president" , "president dispatch" , "what dispatch" , "what a" , "president a" , "dispatch a" 
"HUM:ind" , "whose" , "video" , "be" , "title" , "whose video" , "video be" , "whose be" , "whose title" , "video title" , "be title" 
"NUM:count" , "how" , "many" , "james" , "bond" , "how many" , "many james" , "how james" , "how bond" , "many bond" , "james bond" 
"NUM:volsize" , "how" , "large" , "be" , "the" , "how large" , "large be" , "how be" , "how the" , "large the" , "be the" 
"NUM:count" , "how" , "much" , "electricity" , "do" , "how much" , "much electricity" , "how electricity" , "how do" , "much do" , "electricity do" 
"NUM:count" , "how" , "many" , "acre" , "in" , "how many" , "many acre" , "how acre" , "how in" , "many in" , "acre in" 
"HUM:ind" , "who" , "the" , "twin" , "brother" , "who the" , "the twin" , "who twin" , "who brother" , "the brother" , "twin brother" 
"NUM:money" , "what" , "be" , "the" , "income" , "what be" , "be the" , "what the" , "what income" , "be income" , "the income" 
"NUM:count" , "how" , "many" , "grammys" , "do" , "how many" , "many grammys" , "how grammys" , "how do" , "many do" , "grammys do" 
"LOC:other" , "what" , "be" , "the" , "old" , "what be" , "be the" , "what the" , "what old" , "be old" , "the old" 
"NUM:period" , "what" , "be" , "the" , "average" , "what be" , "be the" , "what the" , "what average" , "be average" , "the average" 
"LOC:country" , "what" , "country" , "receive" , "all" , "what country" , "country receive" , "what receive" , "what all" , "country all" , "receive all" 
"NUM:count" , "how" , "many" , "syllable" , "be" , "how many" , "many syllable" , "how syllable" , "how be" , "many be" , "syllable be" 
"LOC:other" , "what" , "be" , "britain" , "possession" , "what be" , "be britain" , "what britain" , "what possession" , "be possession" , "britain possession" 
"HUM:ind" , "who" , "be" , "america" , "first" , "who be" , "be america" , "who america" , "who first" , "be first" , "america first" 
"NUM:count" , "how" , "many" , "child" , "under" , "how many" , "many child" , "how child" , "how under" , "many under" , "child under" 
"HUM:ind" , "who" , "live" , "at" , "sussex" , "who live" , "live at" , "who at" , "who sussex" , "live sussex" , "at sussex" 
"LOC:state" , "what" , "be" , "the" , "only" , "what be" , "be the" , "what the" , "what only" , "be only" , "the only" 
"HUM:ind" , "who" , "be" , "the" , "famous" , "who be" , "be the" , "who the" , "who famous" , "be famous" , "the famous" 
"NUM:count" , "how" , "many" , "people" , "in" , "how many" , "many people" , "how people" , "how in" , "many in" , "people in" 
"HUM:ind" , "who" , "be" , "always" , "try" , "who be" , "be always" , "who always" , "who try" , "be try" , "always try" 
"HUM:ind" , "who" , "do" , "jackie" , "kennedy" , "who do" , "do jackie" , "who jackie" , "who kennedy" , "do kennedy" , "jackie kennedy" 
"NUM:count" , "how" , "many" , "star" , "be" , "how many" , "many star" , "how star" , "how be" , "many be" , "star be" 
"HUM:ind" , "who" , "seek" , "to" , "create" , "who seek" , "seek to" , "who to" , "who create" , "seek create" , "to create" 
"LOC:other" , "what" , "be" , "tourist" , "attraction" , "what be" , "be tourist" , "what tourist" , "what attraction" , "be attraction" , "tourist attraction" 
"NUM:dist" , "what" , "be" , "the" , "length" , "what be" , "be the" , "what the" , "what length" , "be length" , "the length" 
"HUM:ind" , "who" , "say" , "soldier" , "win" , "who say" , "say soldier" , "who soldier" , "who win" , "say win" , "soldier win" 
"NUM:period" , "how" , "long" , "do" , "it" , "how long" , "long do" , "how do" , "how it" , "long it" , "do it" 
"LOC:city" , "what" , "colorado" , "city" , "own" , "what colorado" , "colorado city" , "what city" , "what own" , "colorado own" , "city own" 
"NUM:money" , "how" , "much" , "do" , "it" , "how much" , "much do" , "how do" , "how it" , "much it" , "do it" 
"HUM:ind" , "who" , "be" , "the" , "current" , "who be" , "be the" , "who the" , "who current" , "be current" , "the current" 
"LOC:other" , "where" , "do" , "guinea" , "pig" , "where do" , "do guinea" , "where guinea" , "where pig" , "do pig" , "guinea pig" 
"LOC:country" , "what" , "two" , "country" , "coastline" , "what two" , "two country" , "what country" , "what coastline" , "two coastline" , "country coastline" 
"NUM:date" , "when" , "be" , "the" , "slinky" , "when be" , "be the" , "when the" , "when slinky" , "be slinky" , "the slinky" 
"HUM:ind" , "what" , "be" , "the" , "character" , "what be" , "be the" , "what the" , "what character" , "be character" , "the character" 
"HUM:ind" , "which" , "be" , "the" , "only" , "which be" , "be the" , "which the" , "which only" , "be only" , "the only" 
"LOC:city" , "what" , "european" , "capital" , "celebrate" , "what european" , "european capital" , "what capital" , "what celebrate" , "european celebrate" , "capital celebrate" 
"LOC:country" , "what" , "country" , "be" , "the" , "what country" , "country be" , "what be" , "what the" , "country the" , "be the" 
"NUM:perc" , "what" , "be" , "thatcher" , "approval" , "what be" , "be thatcher" , "what thatcher" , "what approval" , "be approval" , "thatcher approval" 
"NUM:count" , "how" , "many" , "calorie" , "be" , "how many" , "many calorie" , "how calorie" , "how be" , "many be" , "calorie be" 
"LOC:state" , "in" , "what" , "state" , "be" , "in what" , "what state" , "in state" , "in be" , "what be" , "state be" 
"LOC:country" , "what" , "country" , "in" , "latin" , "what country" , "country in" , "what in" , "what latin" , "country latin" , "in latin" 
"LOC:other" , "on" , "which" , "hawaiian" , "island" , "on which" , "which hawaiian" , "on hawaiian" , "on island" , "which island" , "hawaiian island" 
"HUM:ind" , "what" , "feather" , "cartoon" , "character" , "what feather" , "feather cartoon" , "what cartoon" , "what character" , "feather character" , "cartoon character" 
"NUM:date" , "when" , "be" , "dick" , "clark" , "when be" , "be dick" , "when dick" , "when clark" , "be clark" , "dick clark" 
"NUM:other" , "what" , "be" , "the" , "death" , "what be" , "be the" , "what the" , "what death" , "be death" , "the death" 
"LOC:city" , "what" , "city" , "be" , "wiener" , "what city" , "city be" , "what be" , "what wiener" , "city wiener" , "be wiener" 
"LOC:other" , "what" , "desert" , "have" , "the" , "what desert" , "desert have" , "what have" , "what the" , "desert the" , "have the" 
"LOC:country" , "what" , "two" , "country" , "contain" , "what two" , "two country" , "what country" , "what contain" , "two contain" , "country contain" 
"NUM:period" , "how" , "long" , "be" , "the" , "how long" , "long be" , "how be" , "how the" , "long the" , "be the" 
"NUM:code" , "what" , "phone" , "number" , "can" , "what phone" , "phone number" , "what number" , "what can" , "phone can" , "number can" 
"NUM:date" , "when" , "do" , "the" , "banner" , "when do" , "do the" , "when the" , "when banner" , "do banner" , "the banner" 
"LOC:other" , "what" , "continent" , "name" , "appear" , "what continent" , "continent name" , "what name" , "what appear" , "continent appear" , "name appear" 
"HUM:ind" , "who" , "be" , "the" , "secretary" , "who be" , "be the" , "who the" , "who secretary" , "be secretary" , "the secretary" 
"HUM:ind" , "who" , "do" , "bobby" , "fischer" , "who do" , "do bobby" , "who bobby" , "who fischer" , "do fischer" , "bobby fischer" 
"LOC:other" , "where" , "can" , "i" , "get" , "where can" , "can i" , "where i" , "where get" , "can get" , "i get" 
"NUM:date" , "what" , "day" , "be" , "august" , "what day" , "day be" , "what be" , "what august" , "day august" , "be august" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:volsize" , "how" , "big" , "be" , "a" , "how big" , "big be" , "how be" , "how a" , "big a" , "be a" 
"LOC:country" , "what" , "country" , "be" , "a" , "what country" , "country be" , "what be" , "what a" , "country a" , "be a" 
"LOC:other" , "where" , "can" , "i" , "buy" , "where can" , "can i" , "where i" , "where buy" , "can buy" , "i buy" 
"HUM:ind" , "name" , "the" , "lawyer" , "for" , "name the" , "the lawyer" , "name lawyer" , "name for" , "the for" , "lawyer for" 
"LOC:other" , "what" , "be" , "the" , "homelite" , "what be" , "be the" , "what the" , "what homelite" , "be homelite" , "the homelite" 
"LOC:other" , "what" , "mountainous" , "region" , "of" , "what mountainous" , "mountainous region" , "what region" , "what of" , "mountainous of" , "region of" 
"NUM:period" , "how" , "long" , "do" , "it" , "how long" , "long do" , "how do" , "how it" , "long it" , "do it" 
"HUM:ind" , "who" , "live" , "at" , "stone" , "who live" , "live at" , "who at" , "who stone" , "live stone" , "at stone" 
"NUM:count" , "how" , "many" , "question" , "be" , "how many" , "many question" , "how question" , "how be" , "many be" , "question be" 
"HUM:ind" , "who" , "play" , "humpty" , "dumpty" , "who play" , "play humpty" , "who humpty" , "who dumpty" , "play dumpty" , "humpty dumpty" 
"HUM:ind" , "who" , "be" , "karenna" , "gore" , "who be" , "be karenna" , "who karenna" , "who gore" , "be gore" , "karenna gore" 
"HUM:ind" , "who" , "play" , "the" , "title" , "who play" , "play the" , "who the" , "who title" , "play title" , "the title" 
"NUM:date" , "in" , "what" , "year" , "do" , "in what" , "what year" , "in year" , "in do" , "what do" , "year do" 
"NUM:date" , "what" , "year" , "do" , "rossetti" , "what year" , "year do" , "what do" , "what rossetti" , "year rossetti" , "do rossetti" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:count" , "how" , "many" , "square" , "foot" , "how many" , "many square" , "how square" , "how foot" , "many foot" , "square foot" 
"HUM:ind" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"HUM:ind" , "who" , "be" , "the" , "inventor" , "who be" , "be the" , "who the" , "who inventor" , "be inventor" , "the inventor" 
"HUM:ind" , "what" , "comedian" , "have" , "a" , "what comedian" , "comedian have" , "what have" , "what a" , "comedian a" , "have a" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:date" , "box" , "day" , "be" , "celebrate" , "box day" , "day be" , "box be" , "box celebrate" , "day celebrate" , "be celebrate" 
"HUM:ind" , "who" , "be" , "the" , "king" , "who be" , "be the" , "who the" , "who king" , "be king" , "the king" 
"HUM:ind" , "who" , "be" , "make" , "the" , "who be" , "be make" , "who make" , "who the" , "be the" , "make the" 
"LOC:other" , "where" , "be" , "richard" , "nixon" , "where be" , "be richard" , "where richard" , "where nixon" , "be nixon" , "richard nixon" 
"NUM:ord" , "where" , "do" , "the" , "rank" , "where do" , "do the" , "where the" , "where rank" , "do rank" , "the rank" 
"NUM:perc" , "what" , "be" , "the" , "target" , "what be" , "be the" , "what the" , "what target" , "be target" , "the target" 
"HUM:ind" , "name" , "of" , "scholar" , "on" , "name of" , "of scholar" , "name scholar" , "name on" , "of on" , "scholar on" 
"NUM:date" , "when" , "do" , "israel" , "begin" , "when do" , "do israel" , "when israel" , "when begin" , "do begin" , "israel begin" 
"HUM:ind" , "name" , "the" , "on" , "stage" , "name the" , "the on" , "name on" , "name stage" , "the stage" , "on stage" 
"NUM:count" , "how" , "much" , "energy" , "be" , "how much" , "much energy" , "how energy" , "how be" , "much be" , "energy be" 
"HUM:ind" , "who" , "be" , "know" , "a" , "who be" , "be know" , "who know" , "who a" , "be a" , "know a" 
"LOC:other" , "what" , "be" , "the" , "large" , "what be" , "be the" , "what the" , "what large" , "be large" , "the large" 
"LOC:country" , "what" , "country" , "and" , "western" , "what country" , "country and" , "what and" , "what western" , "country western" , "and western" 
"LOC:other" , "what" , "building" , "appropriately" , "enough" , "what building" , "building appropriately" , "what appropriately" , "what enough" , "building enough" , "appropriately enough" 
"HUM:ind" , "what" , "baseball" , "team" , "owner" , "what baseball" , "baseball team" , "what team" , "what owner" , "baseball owner" , "team owner" 
"HUM:ind" , "who" , "be" , "with" , "patricia" , "who be" , "be with" , "who with" , "who patricia" , "be patricia" , "with patricia" 
"HUM:ind" , "what" , "be" , "the" , "viking" , "what be" , "be the" , "what the" , "what viking" , "be viking" , "the viking" 
"LOC:other" , "where" , "be" , "rider" , "college" , "where be" , "be rider" , "where rider" , "where college" , "be college" , "rider college" 
"HUM:ind" , "what" , "boxer" , "life" , "story" , "what boxer" , "boxer life" , "what life" , "what story" , "boxer story" , "life story" 
"HUM:ind" , "who" , "advise" , "listener" , "to" , "who advise" , "advise listener" , "who listener" , "who to" , "advise to" , "listener to" 
"LOC:other" , "where" , "be" , "the" , "first" , "where be" , "be the" , "where the" , "where first" , "be first" , "the first" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"NUM:count" , "how" , "many" , "horse" , "die" , "how many" , "many horse" , "how horse" , "how die" , "many die" , "horse die" 
"NUM:count" , "how" , "much" , "waste" , "do" , "how much" , "much waste" , "how waste" , "how do" , "much do" , "waste do" 
"HUM:ind" , "what" , "nobel" , "laureate" , "be" , "what nobel" , "nobel laureate" , "what laureate" , "what be" , "nobel be" , "laureate be" 
"HUM:ind" , "what" , "woman" , "have" , "carry" , "what woman" , "woman have" , "what have" , "what carry" , "woman carry" , "have carry" 
"NUM:count" , "how" , "many" , "minute" , "be" , "how many" , "many minute" , "how minute" , "how be" , "many be" , "minute be" 
"NUM:period" , "what" , "be" , "the" , "average" , "what be" , "be the" , "what the" , "what average" , "be average" , "the average" 
"LOC:other" , "what" , "be" , "website" , "of" , "what be" , "be website" , "what website" , "what of" , "be of" , "website of" 
"LOC:other" , "where" , "be" , "of" , "the" , "where be" , "be of" , "where of" , "where the" , "be the" , "of the" 
"LOC:other" , "where" , "can" , "i" , "look" , "where can" , "can i" , "where i" , "where look" , "can look" , "i look" 
"NUM:count" , "how" , "many" , "astronaut" , "have" , "how many" , "many astronaut" , "how astronaut" , "how have" , "many have" , "astronaut have" 
"NUM:date" , "in" , "what" , "year" , "do" , "in what" , "what year" , "in year" , "in do" , "what do" , "year do" 
"HUM:ind" , "which" , "bourbon" , "king" , "be" , "which bourbon" , "bourbon king" , "which king" , "which be" , "bourbon be" , "king be" 
"LOC:city" , "what" , "be" , "one" , "of" , "what be" , "be one" , "what one" , "what of" , "be of" , "one of" 
"HUM:ind" , "what" , "daughter" , "of" , "henry" , "what daughter" , "daughter of" , "what of" , "what henry" , "daughter henry" , "of henry" 
"LOC:other" , "what" , "be" , "the" , "most" , "what be" , "be the" , "what the" , "what most" , "be most" , "the most" 
"LOC:mount" , "what" , "be" , "the" , "world" , "what be" , "be the" , "what the" , "what world" , "be world" , "the world" 
"HUM:ind" , "what" , "comedienne" , "upstaged" , "dwight" , "what comedienne" , "comedienne upstaged" , "what upstaged" , "what dwight" , "comedienne dwight" , "upstaged dwight" 
"NUM:date" , "when" , "be" , "the" , "olympic" , "when be" , "be the" , "when the" , "when olympic" , "be olympic" , "the olympic" 
"LOC:other" , "where" , "be" , "hearst" , "castle" , "where be" , "be hearst" , "where hearst" , "where castle" , "be castle" , "hearst castle" 
"LOC:city" , "what" , "the" , "large" , "city" , "what the" , "the large" , "what large" , "what city" , "the city" , "large city" 
"HUM:ind" , "who" , "sing" , "about" , "desmond" , "who sing" , "sing about" , "who about" , "who desmond" , "sing desmond" , "about desmond" 
"HUM:ind" , "what" , "costume" , "designer" , "decide" , "what costume" , "costume designer" , "what designer" , "what decide" , "costume decide" , "designer decide" 
"NUM:count" , "how" , "many" , "row" , "of" , "how many" , "many row" , "how row" , "how of" , "many of" , "row of" 
"NUM:count" , "what" , "be" , "the" , "goat" , "what be" , "be the" , "what the" , "what goat" , "be goat" , "the goat" 
"LOC:other" , "what" , "sea" , "separate" , "naples" , "what sea" , "sea separate" , "what separate" , "what naples" , "sea naples" , "separate naples" 
"NUM:count" , "how" , "many" , "lawyer" , "be" , "how many" , "many lawyer" , "how lawyer" , "how be" , "many be" , "lawyer be" 
"HUM:ind" , "name" , "the" , "blind" , "sculptress" , "name the" , "the blind" , "name blind" , "name sculptress" , "the sculptress" , "blind sculptress" 
"HUM:ind" , "what" , "national" , "basketball" , "association" , "what national" , "national basketball" , "what basketball" , "what association" , "national association" , "basketball association" 
"NUM:date" , "when" , "do" , "fraze" , "get" , "when do" , "do fraze" , "when fraze" , "when get" , "do get" , "fraze get" 
"NUM:count" , "how" , "many" , "game" , "be" , "how many" , "many game" , "how game" , "how be" , "many be" , "game be" 
"HUM:ind" , "who" , "develop" , "the" , "first" , "who develop" , "develop the" , "who the" , "who first" , "develop first" , "the first" 
"HUM:ind" , "who" , "make" , "the" , "first" , "who make" , "make the" , "who the" , "who first" , "make first" , "the first" 
"LOC:country" , "what" , "country" , "claim" , "rubens" , "what country" , "country claim" , "what claim" , "what rubens" , "country rubens" , "claim rubens" 
"NUM:count" , "how" , "many" , "question" , "do" , "how many" , "many question" , "how question" , "how do" , "many do" , "question do" 
"LOC:other" , "where" , "can" , "i" , "find" , "where can" , "can i" , "where i" , "where find" , "can find" , "i find" 
"HUM:ind" , "what" , "character" , "do" , "tex" , "what character" , "character do" , "what do" , "what tex" , "character tex" , "do tex" 
"NUM:date" , "when" , "be" , "the" , "triangle" , "when be" , "be the" , "when the" , "when triangle" , "be triangle" , "the triangle" 
"HUM:ind" , "what" , "asian" , "spiritual" , "and" , "what asian" , "asian spiritual" , "what spiritual" , "what and" , "asian and" , "spiritual and" 
"LOC:other" , "where" , "be" , "ocho" , "rio" , "where be" , "be ocho" , "where ocho" , "where rio" , "be rio" , "ocho rio" 
"LOC:other" , "what" , "ocean" , "do" , "mauritania" , "what ocean" , "ocean do" , "what do" , "what mauritania" , "ocean mauritania" , "do mauritania" 
"LOC:country" , "what" , "country" , "be" , "kosovo" , "what country" , "country be" , "what be" , "what kosovo" , "country kosovo" , "be kosovo" 
"LOC:city" , "tell" , "me" , "what" , "city" , "tell me" , "me what" , "tell what" , "tell city" , "me city" , "what city" 
"LOC:other" , "what" , "be" , "bill" , "gross" , "what be" , "be bill" , "what bill" , "what gross" , "be gross" , "bill gross" 
"HUM:ind" , "what" , "english" , "queen" , "have" , "what english" , "english queen" , "what queen" , "what have" , "english have" , "queen have" 
"NUM:other" , "what" , "be" , "the" , "approximate" , "what be" , "be the" , "what the" , "what approximate" , "be approximate" , "the approximate" 
"NUM:money" , "how" , "much" , "do" , "the" , "how much" , "much do" , "how do" , "how the" , "much the" , "do the" 
"HUM:ind" , "what" , "two" , "baseball" , "player" , "what two" , "two baseball" , "what baseball" , "what player" , "two player" , "baseball player" 
"NUM:perc" , "of" , "child" , "between" , "the" , "of child" , "child between" , "of between" , "of the" , "child the" , "between the" 
"LOC:state" , "what" , "the" , "northernmost" , "state" , "what the" , "the northernmost" , "what northernmost" , "what state" , "the state" , "northernmost state" 
"LOC:other" , "name" , "an" , "art" , "gallery" , "name an" , "an art" , "name art" , "name gallery" , "an gallery" , "art gallery" 
"LOC:other" , "what" , "building" , "be" , "british" , "what building" , "building be" , "what be" , "what british" , "building british" , "be british" 
"HUM:ind" , "who" , "do" , "dita" , "beard" , "who do" , "do dita" , "who dita" , "who beard" , "do beard" , "dita beard" 
"LOC:country" , "what" , "country" , "be" , "first" , "what country" , "country be" , "what be" , "what first" , "country first" , "be first" 
"HUM:ind" , "who" , "serve" , "a" , "inspiration" , "who serve" , "serve a" , "who a" , "who inspiration" , "serve inspiration" , "a inspiration" 
"NUM:code" , "what" , "be" , "columbia" , "tristar" , "what be" , "be columbia" , "what columbia" , "what tristar" , "be tristar" , "columbia tristar" 
"HUM:ind" , "which" , "one" , "of" , "the" , "which one" , "one of" , "which of" , "which the" , "one the" , "of the" 
"HUM:ind" , "who" , "be" , "the" , "best" , "who be" , "be the" , "who the" , "who best" , "be best" , "the best" 
"LOC:city" , "what" , "be" , "the" , "capital" , "what be" , "be the" , "what the" , "what capital" , "be capital" , "the capital" 
"LOC:other" , "what" , "continent" , "be" , "bolivia" , "what continent" , "continent be" , "what be" , "what bolivia" , "continent bolivia" , "be bolivia" 
"HUM:ind" , "who" , "kill" , "more" , "people" , "who kill" , "kill more" , "who more" , "who people" , "kill people" , "more people" 
"LOC:state" , "what" , "state" , "have" , "the" , "what state" , "state have" , "what have" , "what the" , "state the" , "have the" 
"NUM:count" , "what" , "be" , "the" , "highway" , "what be" , "be the" , "what the" , "what highway" , "be highway" , "the highway" 
"HUM:ind" , "what" , "mustachioed" , "comedian" , "portrayed" , "what mustachioed" , "mustachioed comedian" , "what comedian" , "what portrayed" , "mustachioed portrayed" , "comedian portrayed" 
"NUM:money" , "what" , "do" , "each" , "of" , "what do" , "do each" , "what each" , "what of" , "do of" , "each of" 
"HUM:ind" , "what" , "actor" , "and" , "world" , "what actor" , "actor and" , "what and" , "what world" , "actor world" , "and world" 
"LOC:city" , "what" , "city" , "be" , "often" , "what city" , "city be" , "what be" , "what often" , "city often" , "be often" 
"HUM:ind" , "who" , "portray" , "dracula" , "in" , "who portray" , "portray dracula" , "who dracula" , "who in" , "portray in" , "dracula in" 
"NUM:date" , "when" , "be" , "fish" , "first" , "when be" , "be fish" , "when fish" , "when first" , "be first" , "fish first" 
"HUM:ind" , "what" , "president" , "favorite" , "biblical" , "what president" , "president favorite" , "what favorite" , "what biblical" , "president biblical" , "favorite biblical" 
"NUM:count" , "how" , "many" , "elevator" , "do" , "how many" , "many elevator" , "how elevator" , "how do" , "many do" , "elevator do" 
"LOC:country" , "what" , "country" , "be" , "sir" , "what country" , "country be" , "what be" , "what sir" , "country sir" , "be sir" 
"LOC:city" , "what" , "city" , "be" , "john" , "what city" , "city be" , "what be" , "what john" , "city john" , "be john" 
"NUM:period" , "how" , "long" , "do" , "a" , "how long" , "long do" , "how do" , "how a" , "long a" , "do a" 
"NUM:money" , "what" , "can" , "you" , "be" , "what can" , "can you" , "what you" , "what be" , "can be" , "you be" 
"LOC:other" , "where" , "do" , "the" , "battle" , "where do" , "do the" , "where the" , "where battle" , "do battle" , "the battle" 
"NUM:count" , "how" , "much" , "will" , "the" , "how much" , "much will" , "how will" , "how the" , "much the" , "will the" 
"HUM:ind" , "what" , "mystery" , "writer" , "pen" , "what mystery" , "mystery writer" , "what writer" , "what pen" , "mystery pen" , "writer pen" 
"LOC:state" , "what" , "state" , "full" , "of" , "what state" , "state full" , "what full" , "what of" , "state of" , "full of" 
"LOC:other" , "what" , "be" , "the" , "tall" , "what be" , "be the" , "what the" , "what tall" , "be tall" , "the tall" 
"LOC:other" , "where" , "be" , "sinn" , "fein" , "where be" , "be sinn" , "where sinn" , "where fein" , "be fein" , "sinn fein" 
"NUM:date" , "the" , "iraqi" , "launch" , "their" , "the iraqi" , "iraqi launch" , "the launch" , "the their" , "iraqi their" , "launch their" 
"LOC:country" , "what" , "country" , "northernmost" , "city" , "what country" , "country northernmost" , "what northernmost" , "what city" , "country city" , "northernmost city" 
"LOC:other" , "what" , "sound" , "do" , "olympia" , "what sound" , "sound do" , "what do" , "what olympia" , "sound olympia" , "do olympia" 
"LOC:city" , "what" , "kentucky" , "city" , "call" , "what kentucky" , "kentucky city" , "what city" , "what call" , "kentucky call" , "city call" 
"NUM:count" , "how" , "many" , "be" , "there" , "how many" , "many be" , "how be" , "how there" , "many there" , "be there" 
"LOC:country" , "what" , "european" , "country" , "boast" , "what european" , "european country" , "what country" , "what boast" , "european boast" , "country boast" 
"LOC:state" , "what" , "state" , "be" , "dixville" , "what state" , "state be" , "what be" , "what dixville" , "state dixville" , "be dixville" 
"LOC:other" , "where" , "be" , "the" , "cisalpine" , "where be" , "be the" , "where the" , "where cisalpine" , "be cisalpine" , "the cisalpine" 
"LOC:other" , "what" , "be" , "the" , "large" , "what be" , "be the" , "what the" , "what large" , "be large" , "the large" 
"HUM:ind" , "what" , "be" , "the" , "protagonist" , "what be" , "be the" , "what the" , "what protagonist" , "be protagonist" , "the protagonist" 
"HUM:ind" , "what" , "presidential" , "press" , "secretary" , "what presidential" , "presidential press" , "what press" , "what secretary" , "presidential secretary" , "press secretary" 
"HUM:ind" , "which" , "of" , "these" , "be" , "which of" , "of these" , "which these" , "which be" , "of be" , "these be" 
"HUM:ind" , "who" , "be" , "the" , "original" , "who be" , "be the" , "who the" , "who original" , "be original" , "the original" 
"LOC:other" , "where" , "be" , "the" , "location" , "where be" , "be the" , "where the" , "where location" , "be location" , "the location" 
"NUM:date" , "when" , "be" , "president" , "nixon" , "when be" , "be president" , "when president" , "when nixon" , "be nixon" , "president nixon" 
"HUM:ind" , "whose" , "cupboard" , "be" , "bare" , "whose cupboard" , "cupboard be" , "whose be" , "whose bare" , "cupboard bare" , "be bare" 
"LOC:other" , "what" , "be" , "the" , "seven" , "what be" , "be the" , "what the" , "what seven" , "be seven" , "the seven" 
"HUM:ind" , "what" , "the" , "name" , "of" , "what the" , "the name" , "what name" , "what of" , "the of" , "name of" 
"HUM:ind" , "who" , "invent" , "the" , "vacuum" , "who invent" , "invent the" , "who the" , "who vacuum" , "invent vacuum" , "the vacuum" 
"HUM:ind" , "what" , "fictional" , "character" , "attends" , "what fictional" , "fictional character" , "what character" , "what attends" , "fictional attends" , "character attends" 
"NUM:count" , "how" , "many" , "people" , "in" , "how many" , "many people" , "how people" , "how in" , "many in" , "people in" 
"HUM:ind" , "who" , "do" , "shakespeare" , "antonio" , "who do" , "do shakespeare" , "who shakespeare" , "who antonio" , "do antonio" , "shakespeare antonio" 
"LOC:country" , "which" , "country" , "be" , "know" , "which country" , "country be" , "which be" , "which know" , "country know" , "be know" 
"NUM:count" , "how" , "many" , "time" , "a" , "how many" , "many time" , "how time" , "how a" , "many a" , "time a" 
